compound,aliases,target_class,Target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_D,isomeric,canonical,inchikey,cid,status,Edward Score V23,Rationale V23,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V23,P1 Rationale V23,P2 Prob V23,P2 Rationale V23,P3 Prob V23,P3 Rationale V23,TCSP V23,Salah Verdict V23,Biological Risk V23,Clinical Attrition Risk V23,Target Stigma Penalty V23,P3 Cap Reason V23
mirdametinib,,Kinase,MEK1/2,NF1-PN,Approved,2025.0,,,Approved,Oncology,,approved_control,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCCH(CO)O,SUDAHWBOROXANE-SECBINFHSA-N,9826528,OK,85,"This molecule is a thermodynamic and physicochemical nightmare, relying on brute-force halogenation rather than elegant design. The architecture is violently schizophrenic: a rigid, highly lipophilic diphenylamine core burdened with three fluorines and a massive, highly polarizable iodine atom, juxtaposed against a highly polar, hydrogen-bond donating diol tail (total HBD=4). This extreme amphiphilicity guarantees erratic oral absorption, as the polar tail resists membrane permeation while the greasy core drives non-specific binding and >99% plasma protein binding. The inclusion of an aryl iodide is a MedChem last resort; it acts as a 'grease boulder' that inflates the volume of distribution and forces the molecule into extensive hepatic clearance. Integrating Salah's biological advisory, the 25-point penalty is fully justified. The kinase target space demands a wide therapeutic index, but this structure guarantees the opposite. The diphenylamine core is a classic structural alert for bioactivation into reactive quinone imines. Given the high hepatic burden and the likelihood that high doses will be required to overcome the massive PPB and maintain target occupancy, idiosyncratic DILI is a highly probable outcome. Furthermore, the N-O (alkoxyamine) linkage introduces potential reductive lability. Tox Summary: Not Clean.",Low,"['Aryl iodide (high lipophilicity, polarizability, potential deiodination/thyroid tox)', 'Diphenylamine core (risk of oxidation to reactive quinone imines/nitrenium ions)', 'O-alkyl hydroxamate/alkoxyamine (potential reductive cleavage)']",0.4,"The heavy halogen burden, particularly the iodine, combined with the diphenylamine core, presents a severe risk for idiosyncratic hepatotoxicity (DILI) and off-target kinase/cardiac liabilities. Phase 1 dose escalation will likely hit MTD quickly.",0.3,Efficacy will be severely hampered by the molecule's extreme plasma protein binding and erratic bioavailability. Maintaining continuous target occupancy without breaching the narrow therapeutic index will be highly challenging.,0.1,"Chronic administration of a heavily halogenated, iodine-containing kinase inhibitor with known class-wide toxicities (ocular, dermatological, cardiovascular) makes Phase 3 survival highly improbable. The therapeutic window is razor-thin.",0.012,CAUTION,"The kinase target space in oncology is clinically validated but represents a highly attritional graveyard of narrow therapeutic indices. This NCE features a heavily halogenated, highly lipophilic core—notably containing a massive iodine atom—paired with a polar diol tail. This extreme amphiphilic nature and heavy halogen burden guarantee high plasma protein binding, extensive hepatic metabolism, and potential tissue accumulation. If the required clinical dose exceeds 50mg to maintain continuous target occupancy, the liver burden will be severe, risking idiosyncratic DILI via reactive intermediate formation. Furthermore, kinase inhibitors routinely suffer from class-wide toxicities including cardiotoxicity (LVEF reduction), ocular toxicities, and severe dermatological events. The therapeutic window here will be razor-thin, dictated entirely by the MTD.",High,25,"Narrow therapeutic index typical of oncology kinase inhibitors, compounded by heavy halogenation (iodine) driving potential hepatotoxicity, tissue accumulation, and dose-limiting off-target adverse events."
elamipretide,,Mitochondrial binder,Cardiolipin,Barth Syndrome,Approved,2025.0,,,Approved,Rare Disease,,approved_control,CC1=CC(=CC(=C1C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N)NC(=O)[C@@H](CCCN=C(N)N)N)C)O,CC1=CC(=CC(=C1CCH(C(=O)NCH(CCCCN)C(=O)NCH(CC2=CC=CC=C2)C(=O)N)NC(=O)CH(CCCN=C(N)N)N)C)O,SFVLTCAESLKEHH-WKAQUBQDSA-N,11764719,OK,85,"Structurally, this is a highly polar, polycationic tetrapeptide-like entity (MW > 600, TPSA > 250 Å²). It blatantly violates all standard small-molecule developability metrics, carrying a massive entropic penalty ('The Balloon'). The presence of multiple basic centers (a guanidine and two primary amines) guarantees a +3 polycationic state at physiological pH. This completely precludes passive membrane permeability and oral absorption, mandating high-dose parenteral administration. While the extreme positive charge may theoretically drive mitochondrial accumulation by exploiting the negative mitochondrial membrane potential, it introduces severe systemic liabilities: rapid renal clearance, a high risk of nephrotoxicity via proximal tubule accumulation, and potential off-target cellular membrane disruption (mast cell degranulation). Metabolic stability is inherently compromised by the multiple exposed amide bonds, although the sterically hindered 2,6-dimethylphenol moiety may offer slight localized resistance against ubiquitous peptidases. Integrating the biological advisory, the razor-thin therapeutic window of direct mitochondrial modulation, combined with the abysmal physicochemical properties and obligate parenteral route, makes this a highly precarious asset. Tox Summary: Not Clean (High risk of nephrotoxicity and membrane disruption due to polycationic nature).",Low,"['Polycationic motif (guanidine + primary amines) driving renal accumulation/nephrotoxicity', 'Exposed peptide backbone (protease susceptibility)']",0.6,"Acute systemic toxicity may be manageable in a controlled clinical setting, but there is a high risk of injection site reactions and early renal biomarker elevations due to the polycationic charge.",0.25,"Achieving adequate intracellular and intra-mitochondrial concentrations in deep target tissues (e.g., CNS, skeletal muscle) via parenteral dosing without triggering dose-limiting nephrotoxicity is highly improbable.",0.1,Chronic parenteral administration of a nephrotoxic-leaning peptide for a rare disease faces massive patient compliance hurdles and long-term renal safety risks.,0.015,CAUTION,"Targeting mitochondria directly is a clinical minefield. The therapeutic window between restoring mitochondrial function and triggering catastrophic ATP depletion, uncoupling, or apoptosis is razor-thin. Structurally, this NCE is a highly polar, polycationic peptide-like entity (containing arginine and lysine-like moieties). While this hydrophilic profile bypasses classic CYP450-mediated hepatic metabolism and reduces traditional DILI risk, it guarantees abysmal oral bioavailability. This necessitates high-dose parenteral administration to achieve adequate intracellular and intra-mitochondrial concentrations in target tissues (e.g., muscle, CNS). Furthermore, highly cationic peptides are notorious for renal accumulation, shifting the toxicity burden from the liver to the kidneys (nephrotoxicity). In a rare disease context, regulatory tolerance for adverse events is higher, but the biological feasibility of safely modulating the cellular powerhouse remains highly precarious.",High,35,"Extreme difficulty in demonstrating definitive clinical efficacy in heterogeneous rare diseases, compounded by the inherent systemic toxicity risks of direct mitochondrial modulation and the poor pharmacokinetic profile of polycationic peptides."
doxecitine,,Nucleoside,TK2,TK2 Deficiency,Approved,2025.0,,,Approved,Rare Disease,,approved_control,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O,C1CH(CH(OCH1N2C=CC(=NC2=O)N)CO)O,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,13711,OK,78,"This scaffold is a physicochemical and metabolic nightmare masquerading as a drug. With a cLogP well below zero and a high polar surface area driven by multiple hydroxyls and a pyrimidine base, passive membrane permeability is non-existent; it is entirely at the mercy of active transport via solute carriers. Metabolically, the exocyclic amine on the pyrimidine ring is a glaring liability, highly susceptible to rapid, systemic deamination by ubiquitous deaminases, drastically reducing half-life. Furthermore, as highlighted by the biological advisory, this nucleoside analog requires rate-limiting intracellular tri-phosphorylation, creating profound PK/PD disconnects and necessitating massive systemic doses. This high-exposure requirement directly exacerbates its fatal structural flaw: indiscriminate mimicry of endogenous substrates, leading to off-target inhibition of human DNA polymerase gamma. The resulting mitochondrial toxicity (lactic acidosis, neuropathy) is a hard-wired class liability that cannot be engineered out without destroying target affinity. Tox Summary: Not Clean.",Low,"['Nucleoside analog core (mitochondrial toxicity via DNA pol gamma off-target affinity)', 'Exocyclic pyrimidine amine (susceptibility to rapid systemic deamination)']",0.35,Severe risk of acute myelosuppression and dose-limiting host toxicity driven by the high systemic exposures required to overcome poor intracellular phosphorylation kinetics.,0.25,Efficacy is heavily compromised by rapid systemic deamination and absolute reliance on variable host kinase expression for bioactivation to the active triphosphate species.,0.1,"Chronic administration is a clinical minefield. Cumulative mitochondrial toxicity, manifesting as lactic acidosis and peripheral neuropathy, will obliterate the therapeutic index even in a rare disease setting.",0.00875,CAUTION,"Nucleoside analogs carry a massive, class-wide liability for mitochondrial toxicity via off-target inhibition of human host DNA polymerase gamma. This mechanism frequently manifests clinically as severe lactic acidosis, peripheral neuropathy, myelosuppression, and hepatic steatosis. Furthermore, the requirement for intracellular tri-phosphorylation introduces profound pharmacokinetic variability and often necessitates high systemic exposures to achieve active intracellular concentrations, directly driving dose-dependent host toxicity. While the 'Rare Disease' designation offers a slightly more forgiving regulatory safety margin, chronic administration of this scaffold is a clinical minefield with a razor-thin therapeutic index.",High,35,"Class-wide mitochondrial toxicity (Pol-gamma inhibition) and myelosuppression severely restrict the therapeutic window, frequently causing late-stage safety failures."
suzetrigine,,Ion Channel,NaV1.8,Acute Pain,Approved,2025.0,,,Approved,Pain,,approved_control,C[C@H]1[C@H]([C@@H](O[C@@]1(C)C(F)(F)F)C(=O)NC2=CC(=NC=C2)C(=O)N)C3=C(C(=C(C=C3)F)F)OC,CCH1CH(CH(OC1(C)C(F)(F)F)C(=O)NC2=CC(=NC=C2)C(=O)N)C3=C(C(=C(C=C3)F)F)OC,XSQUJFKRXZMOKA-PAFIKIDNSA-N,156445116,OK,68,"This is a highly dense, stereochemically complex tetrahydrofuran scaffold. The medicinal chemistry strategy is obvious: brute-force metabolic stability using heavy halogenation (a trifluoromethyl group and a difluorophenyl ring) while attempting to balance the resulting 'grease' with highly polar carboxamide and pyridine moieties. Physicochemically, this creates a push-pull dynamic: MW is pushed near the 500 Da limit (~472 Da) and TPSA is elevated (>100 Å²). While the high TPSA effectively restricts CNS penetration—a crucial advantage for avoiding central Nav1.1/1.2 liabilities if targeting peripheral ion channels—it simultaneously hampers permeability to peripheral nerve terminals, likely driving up the required clinical dose. The lack of a basic amine effectively nullifies hERG risk, and the molecule is a metabolic fortress, with O-demethylation being the only obvious soft spot. However, the presence of four contiguous stereocenters will make the synthetic COGS astronomical. Integrating the biological advisory: the historical graveyard of ion channel pain targets, combined with the high plasma protein binding typical of such heavily fluorinated motifs, necessitates high doses and elevates idiosyncratic DILI risk. Tox Summary: Clean structurally, but high-dose DILI risk remains.",High,"None explicitly reactive, but heavy halogenation (CF3 + difluorophenyl) drives high PPB and potential idiosyncratic DILI at high doses.",0.65,Structurally devoid of hERG pharmacophores (no basic amine) and MBI alerts. Phase 1 safety is primarily threatened by the high Cmax required to overcome high plasma protein binding and poor peripheral nerve penetration.,0.2,"Ion channels for pain are a notorious clinical graveyard. Translation from rodent nociception to human analgesia is historically abysmal, and achieving the necessary isoform selectivity in vivo is exceptionally difficult.",0.15,"Chronic pain indications demand pristine long-term safety profiles. The high dose burden required for this lipophilic, heavily halogenated molecule significantly elevates the risk of rare but fatal idiosyncratic hepatotoxicity.",0.0195,CAUTION,"Targeting ion channels for pain is a notorious clinical graveyard. Translation from rodent nociception models to human clinical analgesia is historically abysmal. If this NCE targets TRP channels (e.g., TRPV1), hyperthermia and loss of noxious heat sensation are fatal clinical liabilities. If it targets voltage-gated sodium channels (e.g., Nav1.7, Nav1.8), the therapeutic window is inherently constrained by the absolute necessity for selectivity over cardiac (Nav1.5) and CNS (Nav1.1/1.2) isoforms—a feat rarely achieved in humans. The heavy halogenation (a trifluoromethyl group and a difluorophenyl ring) suggests an attempt to brute-force metabolic stability and membrane permeability. However, this high degree of lipophilicity typically drives extensive non-specific plasma protein binding. To achieve adequate free-drug concentrations at peripheral nerve terminals, these molecules often require high clinical doses (>100mg/day). High dose burdens coupled with lipophilic, halogen-rich structures significantly elevate the risk of idiosyncratic Drug-Induced Liver Injury (DILI).",High,40,"Historically poor translation of preclinical pain models to human efficacy, coupled with a razor-thin therapeutic index limited by cardiac/CNS ion channel off-target toxicity."
tradipitant,,GPCR,NK-1,Motion Sickness,Approved,2025.0,,,Approved,GI/CNS,,approved_control,C1=CC=C(C(=C1)C(=O)C2=C(N=CC=C2)C3=C(N(N=N3)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)C5=CC=NC=C5)Cl,C1=CC=C(C(=C1)C(=O)C2=C(N=CC=C2)C3=C(N(N=N3)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)C5=CC=NC=C5)Cl,CAVRKWRKTNINFF-UHFFFAOYSA-N,9916461,OK,88,"This molecule is a physicochemical disaster, perfectly exemplifying the 'Brick' phenotype. With a molecular weight exceeding 560 Da and an estimated cLogP well above 5.0, it flagrantly violates CNS MPO guidelines. The inclusion of the 3,5-bis(trifluoromethyl)benzyl moiety is a lazy MedChem tactic to drive GPCR affinity through sheer lipophilic bulk ('grease'), which obliterates Lipophilic Efficiency (LipE) and guarantees massive plasma protein binding (>99%), severely limiting the free fraction. While the TPSA (~73 Å²) and zero HBDs theoretically permit blood-brain barrier crossing, this will be driven by non-specific lipid partitioning rather than efficient permeation. The combination of extreme lipophilicity and multiple heteroaromatic nitrogens (pyridines, triazole) creates a high-risk profile for CYP450 inhibition (severe DDI risk) and promiscuous off-target binding, including hERG, despite the absence of a classic basic amine. Furthermore, the heavy reliance on hepatic clearance for such a lipophilic, high-MW scaffold triggers the Rule of Two for idiosyncratic DILI risk, especially if poor aqueous solubility forces higher clinical dosing. Tox Summary: Not Clean.",Medium,"['3,5-bis(trifluoromethyl)benzyl (extreme lipophilicity and PPB driver)', 'Poly-heteroaromatic core (CYP450 inhibition/DDI risk)']",0.45,High risk of CYP450 inhibition (DDI) and potential hERG/off-target liabilities driven by extreme lipophilicity and heteroaromatic density.,0.25,"Massive plasma protein binding will severely restrict the free fraction, potentially requiring high doses to achieve target engagement, which will exacerbate off-target toxicity.",0.1,The 'Rule of Two' DILI risk (high cLogP + high MW) and severe DDI potential make chronic or broad-population safety highly improbable.,0.01125,CAUTION,"Targeting GI/CNS GPCRs with highly lipophilic, high-molecular-weight scaffolds (notably the bis-trifluoromethyl benzyl moiety) introduces severe pharmacokinetic and hepatotoxic liabilities. While the target class may be validated for acute GI/CNS indications (e.g., emesis, motility, or pain), this specific chemotype guarantees massive plasma protein binding, poor aqueous solubility ('brick dust'), and heavy reliance on hepatic clearance. The primary clinical attrition risk here is not necessarily lack of efficacy, but catastrophic Drug-Drug Interactions (DDIs) via CYP450 inhibition or induction, combined with potential hERG liabilities driven by the heteroaromatic nitrogens and extreme lipophilicity. If the clinical dose must be pushed above 50-100mg to overcome poor oral bioavailability, the resulting liver burden will likely trigger idiosyncratic DILI signals in late-stage trials.",High,30,High risk of late-stage attrition due to severe Drug-Drug Interactions (DDIs) and dose-dependent hepatotoxicity in polypharmacy patient populations.
gepotidacin,,Enzyme,Topoisomerase II/IV,uUTI,Approved,2025.0,,,Approved,Infectious Disease,,approved_control,C1CC2=CC(=NC=C2OC1)CNC3CCN(CC3)C[C@@H]4CN5C(=O)C=CC6=C5N4C(=O)C=N6,C1CC2=CC(=NC=C2OC1)CNC3CCN(CC3)CCH4CN5C(=O)C=CC6=C5N4C(=O)C=N6,PZFAZQUREQIODZ-LJQANCHMSA-N,25101874,OK,78,"This molecule is a toxicological anvil masquerading as a drug. The architecture features a highly basic piperidine and a secondary amine flanked by a dihydropyranopyridine and a dense, electron-deficient fused tricyclic dione system. While the high TPSA and multiple polar groups keep the cLogP in check, the localized basicity (pKa > 8.5) creates a dicationic character at physiological pH. This is a textbook Cationic Amphiphilic Drug (CAD), practically guaranteeing phospholipidosis (PLD) accumulation over time. Furthermore, the spatial arrangement of the basic centers relative to the bulky terminal ring systems forms a classic hERG pharmacophore. Integrating the biological advisory: infectious disease targets demand massive systemic exposures (AUC/MIC). Pushing 500mg+ of this nitrogen-dense, complex xenobiotic through the liver will result in a heavy hepatic extraction burden, inviting idiosyncratic DILI. The sheer mass of drug required obliterates any therapeutic window. Tox Summary: Not Clean (High DILI, PLD, and hERG liabilities).",Low,"Basic piperidine-secondary amine axis (Phospholipidosis/hERG driver), complex fused tricyclic dione (DILI risk at high doses)",0.35,High risk of dose-limiting toxicity in early trials. The dicationic character and massive dose requirements will likely trigger acute cardiac (hERG) or hepatic flags.,0.25,Achieving the necessary AUC/MIC for systemic eradication without crossing the threshold for severe hepatic or cardiac events will severely restrict the therapeutic window.,0.1,Idiosyncratic DILI and phospholipidosis accumulation over prolonged courses (common in severe/resistant infections) will likely derail late-stage trials.,0.00875,CAUTION,"Targeting pathogen-specific enzymes in infectious diseases is a historically validated approach, but it is fundamentally a high-dose game. To maintain adequate PK/PD indices (Time > MIC or AUC/MIC) against systemic infections, this molecule will inevitably require massive clinical doses, often exceeding 500mg to 1g daily. The structural architecture here—featuring a highly complex fused tricyclic system coupled with a basic piperidine moiety—guarantees a heavy hepatic extraction burden. When you push a complex, nitrogen-dense xenobiotic at high doses, you are inviting idiosyncratic Drug-Induced Liver Injury (DILI). Furthermore, the basic amine character introduces a significant risk for drug-induced phospholipidosis over prolonged courses. While the primary target may be pathogen-selective, the sheer mass of drug required to achieve systemic eradication severely narrows the human safety window.",High,25,"Massive dose requirements necessary for infectious disease eradication drive dose-limiting hepatic toxicity, phospholipidosis, and GI intolerance, severely capping late-stage clinical viability."
zoliflodacin,,Enzyme,Topoisomerase II,Gonorrhea,Approved,2025.0,,,Approved,Infectious Disease,,approved_control,C[C@@H]1CN2[C@H]([C@@H](O1)C)C3(CC4=CC5=C(C(=C42)F)ON=C5N6[C@H](COC6=O)C)C(=O)NC(=O)NC3=O,CCH1CN2CH(CH(O1)C)C3(CC4=CC5=C(C(=C42)F)ON=C5N6CH(COC6=O)C)C(=O)NC(=O)NC3=O,ZSWMIFNWDQEXDT-ZESJGQACSA-N,76685216,OK,88,"This NCE is a physicochemical brick and a synthetic nightmare. The architecture features a highly rigid, heteroatom-dense polycyclic core burdened with a spiro-barbiturate (pyrimidine-2,4,6-trione) moiety. This barbiturate introduces significant acidity (pKa ~4-5), ensuring the molecule is largely ionized at physiological pH. Coupled with a massive TPSA (>130 Å²), passive permeability will be abysmal. To achieve necessary intracellular MIC thresholds, the clinical dose will need to be astronomical, perfectly aligning with the biological advisory's warnings of severe metabolic burden and DILI. Structurally, the benzisoxazole N-O bond is a prime candidate for reductive cleavage by gut flora or hepatic reductases, potentially yielding reactive aminophenol species. Furthermore, the oxazolidinone ring is a well-documented mitochondrial poison, carrying a class-wide liability for bone marrow suppression. Pushing half a gram of this complex, reactive scaffold through the liver daily is a recipe for idiosyncratic toxicity. Tox Summary: Not Clean.",Low,"Oxazolidinone (mitochondrial toxicity), Benzisoxazole (reductive cleavage to reactive aminophenols), Spiro-barbiturate (acidity/permeability sink)",0.25,The massive required dose combined with the mitochondrial toxicity of the oxazolidinone and reactive metabolite generation from the benzisoxazole severely compromises the safety margin.,0.15,Abysmal permeability due to high TPSA and physiological ionization will make achieving target engagement and sufficient intracellular MIC extremely difficult.,0.05,Chronic administration or even short-term high-dose therapy will likely trigger bone marrow suppression or idiosyncratic DILI due to the extreme metabolic burden.,0.001875,CAUTION,"Targeting infectious disease enzymes is biologically validated but clinically brutal due to strict PK/PD requirements. To outpace pathogen resistance and maintain necessary AUC/MIC or Time>MIC thresholds, this NCE will inevitably require a massive clinical dose (likely >500mg/day). The molecule is a highly complex, rigid polycyclic system featuring an oxazolidinone-like moiety and a spiro-imide. Pushing half a gram of this heavy, heteroatom-dense scaffold through the liver daily guarantees a high metabolic burden and significant idiosyncratic DILI risk. Furthermore, the oxazolidinone-like structural motif carries a notorious class-wide liability for mitochondrial toxicity (via off-target inhibition of mammalian mitochondrial protein synthesis), leading to bone marrow suppression and neuropathy upon prolonged administration. The liver has a finite capacity, and the required dose for efficacy will push the safety margin to the absolute limit.",High,25,High clinical dose requirements for anti-infective efficacy combined with structural complexity drives idiosyncratic DILI and mitochondrial toxicity risks.
rilzabrutinib,,Kinase,BTK,ITP,Approved,2025.0,,,Approved,Hematology,,approved_control,CC(C)(/C=C(\C#N)/C(=O)N1CCC[C@H](C1)N2C3=NC=NC(=C3C(=N2)C4=C(C=C(C=C4)OC5=CC=CC=C5)F)N)N6CCN(CC6)C7COC7,CC(C)(C=C(C#N)C(=O)N1CCCCH(C1)N2C3=NC=NC(=C3C(=N2)C4=C(C=C(C=C4)OC5=CC=CC=C5)F)N)N6CCN(CC6)C7COC7,LCFFREMLXLZNHE-GBOLQPHISA-N,73388818,OK,85,"This NCE is a structurally bloated covalent kinase inhibitor that flagrantly violates developability guidelines. The architecture relies on a classic purine hinge-binding motif, which inherently carries a kinome promiscuity tax. To drive affinity, the design employs a highly lipophilic 3-fluoro-4-phenoxyphenyl moiety at the 8-position; this acts as a 'grease' anchor that will inevitably drive high CYP450 clearance and severe drug-drug interaction (DDI) risks, perfectly aligning with the biological advisory. The most alarming feature is the alpha-cyanoacrylamide Michael acceptor. While the exceptionally bulky beta-substituent (a 1,1-dimethyl-2-(oxetan-3-ylpiperazin-1-yl)ethyl group) appears to be a deliberate MedChem strategy to sterically tune the warhead's reactivity—likely aiming for reversible-covalent kinetics or restricted target engagement—it inflates the molecular weight to nearly 670 Da, turning the molecule into an impenetrable 'Brick'. This reactive electrophile poses a severe risk of off-target haptenization, glutathione depletion, and idiosyncratic DILI, especially in fragile hematology populations. The combination of extreme molecular weight, excessive lipophilicity, and a reactive warhead creates a perfect storm for clinical attrition. Tox Summary: Not Clean.",Low,"Alpha-cyanoacrylamide (Michael acceptor, haptenization/DILI risk), 3-fluoro-4-phenoxyphenyl (high lipophilicity, CYP450 liability)",0.2,Capped at 20%. The presence of a reactive Michael acceptor combined with extreme molecular weight (>650 Da) and high lipophilicity presents a severe idiosyncratic DILI and off-target toxicity risk in Phase 1.,0.15,Massive MW and high TPSA will severely limit oral bioavailability and tissue penetration. Efficacy will be heavily compromised by poor ADME properties and potential dose-limiting toxicities.,0.05,"Capped at 5%. Chronic administration of a highly lipophilic, promiscuous covalent inhibitor in a polypharmacy hematology setting guarantees late-stage failure due to cumulative immune-mediated toxicities or DDIs.",0.0015,CAUTION,"This NCE is a covalent kinase inhibitor, betrayed by the highly reactive alpha-cyanoacrylamide Michael acceptor in its structure. While covalent mechanisms can drive prolonged pharmacodynamics and theoretically lower the required clinical dose (mitigating direct mass-based liver burden), they introduce a severe liability: haptenization of off-target proteins leading to idiosyncratic DILI and immune-mediated toxicities. In the hematology setting, patients are fragile and heavily pre-treated. If this warhead lacks absolute kinome selectivity, off-target engagement of other cysteine-bearing kinases (e.g., TEC, ITK, EGFR) will trigger bleeding diathesis, severe dermatological toxicity, or profound immunosuppression. Furthermore, the bulky, highly lipophilic phenoxyphenyl moiety guarantees heavy reliance on hepatic CYP450 clearance, creating a minefield of drug-drug interactions in polypharmacy patients. The target class is validated, but the therapeutic window is entirely at the mercy of the warhead's selectivity.",Medium,25,Idiosyncratic DILI via covalent haptenization and off-target kinome reactivity leading to bleeding or immunosuppressive adverse events.
acoltremon,,Ion Channel,TRPM8,Dry Eye,Approved,2025.0,,,Approved,Ophthalmology,,approved_control,C[C@@H]1CC[C@H]([C@@H](C1)C(=O)NC2=CC=C(C=C2)OC)C(C)C,CCH1CCCH(CH(C1)C(=O)NC2=CC=C(C=C2)OC)C(C)C,HNSGVPAAXJJOPQ-XOKHGSTOSA-N,11266244,OK,80,"This molecule is a low-molecular-weight (MW < 300) lipophilic sledgehammer. While it avoids the classic hERG pharmacophore by lacking a basic amine, its physicochemical profile is dominated by 'grease' (estimated cLogP ~3.8-4.2, TPSA ~38 Å²). The affinity for the target ion channel is almost certainly entropically driven by the highly aliphatic, terpene-like cyclohexane core burying into a hydrophobic pocket, leading to a dismal Lipophilic Efficiency (LipE < 4). Metabolically, the p-methoxyphenyl group is a prime target for CYP-mediated O-demethylation to a phenol, while the heavily branched aliphatic core invites extensive tertiary hydroxylation. Integrating the biological advisory: deploying a highly lipophilic sensory ion channel modulator to the eye is a recipe for catastrophic local tolerability failures. The lack of polar handles ensures it will partition heavily into the lipid-rich corneal epithelium and act as a chronic irritant, triggering stinging, hyperemia, and potential neurotrophic keratitis. Tox Summary: Not Clean (Severe local ocular tolerability and sensory nerve toxicity).",Low,"['p-methoxyphenyl (O-demethylation to reactive phenol)', 'Terpene-like aliphatic core (sensory nerve irritant/TRP liability)']",0.4,The lack of systemic hERG/MBI liabilities is overshadowed by the near-certainty of severe local ocular adverse events (stinging/burning) upon topical administration in healthy volunteers.,0.15,"The therapeutic window between ion channel modulation (efficacy) and corneal nerve disruption (toxicity) is likely non-existent, leading to failure to meet primary endpoints without unacceptable side effects.",0.05,Chronic topical application of a lipophilic sensory irritant will inevitably lead to massive patient dropout rates due to cumulative ocular surface toxicity.,0.003,CAUTION,"Targeting ion channels in ophthalmology presents a severe local tolerability and off-tissue liability risk. The highly lipophilic, terpene-like aliphatic scaffold strongly suggests modulation of transient receptor potential (TRP) channels or similar sensory ion channels. Historically, this target class is a clinical graveyard. Systemically, they fail due to hyperthermia or cardiac liabilities. Topically, they fail due to intolerable local stinging, burning, hyperemia, and disruption of corneal nerve reflexes (leading to neurotrophic keratitis). While topical ophthalmic delivery bypasses first-pass liver metabolism and systemic DILI risk, the local dose required to penetrate the lipophilic corneal epithelium often necessitates harsh excipients, compounding ocular surface toxicity. The eye is not a privileged sanctuary from ion channel toxicity.",High,35,"High risk of late-stage failure due to poor local ocular tolerability (stinging, burning, hyperemia) and dose-limiting corneal toxicity."
aceclidine,,GPCR,Muscarinic (M3),Presbyopia,Approved,2025.0,,,Approved,Ophthalmology,,approved_control,CC(=O)OC1CN2CCC1CC2,CC(=O)OC1CN2CCC1CC2,WRJPSSPFHGNBMG-UHFFFAOYSA-N,1979,OK,28,"Physicochemical evaluation reveals an ultra-low molecular weight (MW < 200) bicyclic tertiary amine coupled with an acetate ester. The architecture is highly rigid, providing an excellent 3D vector projection for the basic nitrogen (pKa ~10) while maintaining a minimal TPSA (~30 Å²) and low cLogP, guaranteeing exceptional Lipophilic Efficiency (LipE). From a developability standpoint, the ester linkage acts as a deliberate 'soft drug' motif. It ensures rapid hydrolysis by ubiquitous tissue and plasma esterases into a highly polar, systemically cleared alcohol, elegantly bypassing hepatic CYP450 metabolism and systemic DILI risks. There are no hERG pharmacophores (lacking the requisite hydrophobic tail) or MBI alerts. However, integrating the biological advisory, the razor-thin therapeutic window due to local on-target pharmacology (ciliary spasm, hyperemia) is the primary liability. The molecule is chemically pristine and perfectly designed for its route of administration, but biologically constrained by its local tolerability profile. Tox Summary: Clean.",Low,None (Hydrolysis yields benign acetic acid and a polar bicyclic alcohol),0.75,Systemic safety is virtually guaranteed by rapid esterase-mediated clearance. Phase 1 risk is entirely dependent on local ocular tolerability and acute irritation at the maximum tolerated dose.,0.55,"Target engagement in the eye is highly probable given the physicochemical properties favoring corneal penetration, but achieving efficacy without triggering dose-limiting ciliary spasm will be challenging.",0.3,"Commercial viability and Phase 3 success are severely threatened by patient compliance issues. Chronic ocular discomfort (brow ache, hyperemia) is a massive attrition risk for topical ophthalmic GPCR agonists.",0.12375,CAUTION,"Targeting an ophthalmic GPCR with a low-molecular-weight, ester-bearing bicyclic amine strongly suggests cholinergic or muscarinic modulation. The ester linkage acts as a classic 'soft drug' feature, ensuring rapid hydrolysis by corneal and plasma esterases to prevent systemic accumulation. This beautifully bypasses the hepatic dose-burden and DILI risks that typically plague systemic therapies, as the systemic exposure will be negligible. However, the biological risk here shifts entirely to local tissue pharmacology. Forcing high GPCR occupancy in the eye routinely triggers severe ciliary muscle spasm, brow ache, and conjunctival hyperemia. Your clinical attrition won't come from liver toxicity; it will come from massive Phase 3 patient dropout due to intolerable ocular discomfort. The target class is highly validated, but the therapeutic window between intraocular efficacy and local tolerability is razor-thin.",Medium,15,"High risk of patient dropout due to local ocular adverse events (ciliary spasm, hyperemia) despite excellent systemic safety."
