compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status,year_clean,Edward Score V24,Rationale V24,Metabolic Stability V24,Toxic Fragments V24,P1 Prob V24,P1 Rationale V24,P2 Prob V24,P2 Rationale V24,P3 Prob V24,P3 Rationale V24,TCSP V24,Salah Verdict V24,Biological Risk V24
Escitalopram,,SSRI,Serotonin Transporter (SERT),Depression,Approved,2002,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-FQEVSTJZSA-N,146570,OK,2002.0,15,"This scaffold is a masterclass in CNS physicochemical optimization, achieving an exceptionally high Lipophilic Efficiency (LipE). With a molecular weight under 350, a TPSA below 40 Å², and zero hydrogen bond donors, it sits perfectly within the CNS Goldilocks zone. The structural design is highly deliberate: the para-fluoro substitution on the pendant phenyl ring serves as a textbook metabolic block against CYP-mediated aromatic oxidation, while the cyano group provides a strong dipole to enhance target residence time without gratuitously inflating lipophilicity. The quaternary stereocenter effectively locks the conformation, minimizing the entropic penalty upon binding. The primary structural liability here is the classic hERG pharmacophore: a highly basic tertiary dimethylamine tethered via a flexible 3-carbon propyl linker to a bulky, lipophilic bis-aryl core. This spatial arrangement is a known trigger for off-target potassium channel blockade. However, because the overall cLogP is kept strictly in check (~3.5) and the molecule avoids the 'grease tax', the promiscuity risk is contained. Integrating the biological advisory: the optimized physicochemistry guarantees high target affinity, enabling a low clinical dose burden. This low dose requirement provides a crucial therapeutic window to mitigate the hERG liability and effectively eliminates DILI risk despite chronic dosing. Tox Summary: Clean. No reactive metabolites expected, though the hERG/QTc liability requires standard monitoring.",High,"None (Note: hERG pharmacophore present via basic amine + propyl linker + lipophilic core, but devoid of reactive toxophores)",0.85,Excellent physicochemical properties and lack of reactive metabolites ensure a smooth safety profile. The hERG risk is structurally present but manageable via the low anticipated Cmax.,0.65,"Optimal CNS MPO (low TPSA, zero HBD, ideal cLogP) guarantees excellent blood-brain barrier penetration and robust target engagement.",0.55,"Chronic psychiatric indications are historically challenging, but the clean metabolic profile, lack of DILI alerts, and low dose burden provide a highly favorable probability of long-term success.",0.303875,ELITE,"The Selective Serotonin Reuptake Inhibitor (SSRI) class represents one of the most deeply validated mechanistic pathways in CNS pharmacology. The target biology (SERT blockade) is exceptionally well-characterized with a massive historical precedent of chemically diverse molecules achieving clinical success. On-target toxicities (e.g., GI disturbances, sexual dysfunction) are well-understood, non-lethal, and clinically manageable. The structural features of this NCE—a low molecular weight scaffold with a basic amine and halogenated aromatic system—strongly predict high target affinity, allowing for a low clinical dose burden. This low dose requirement mitigates the risk of drug-induced liver injury (DILI) despite the chronic dosing paradigm required for psychiatric indications. Biological uncertainty is minimal."
Desvenlafaxine,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2008,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,KYYIDSXMWOZKMP-UHFFFAOYSA-N,125017,OK,2008.0,15,"The molecule presents an exceptionally atom-economical and physicochemically optimized scaffold for CNS penetration (MW ~263, cLogP ~2.5, TPSA ~44 Å²). The basic tertiary amine paired with the aromatic and cycloaliphatic rings forms a textbook pharmacophore for monoamine transporter inhibition. While this motif inherently carries a baseline hERG liability, the risk is heavily mitigated by the low overall lipophilicity and the strategic placement of two polar hydroxyl groups (phenol and tertiary alcohol) which disrupt the hydrophobic interactions required for high-affinity hERG binding. The primary metabolic pathways will involve Phase II conjugation (glucuronidation/sulfation) of the hydroxyls and CYP-mediated N-demethylation. The phenol moiety introduces a theoretical risk of bioactivation to reactive ortho-quinone species via CYP oxidation, but the low molecular weight and favorable LipE suggest a low clinical dose, minimizing idiosyncratic DILI risk. Tox Summary: Clean.",Medium,Phenol (theoretical risk of oxidation to reactive ortho-quinone species),0.85,"Low molecular weight, low lipophilicity, and absence of hard-kill structural alerts predict an excellent safety and tolerability profile. hERG risk is attenuated by scaffold polarity.",0.65,Highly validated SNRI mechanism. The physicochemical profile strongly supports excellent blood-brain barrier penetrance and target engagement at low doses.,0.7,"Low lipophilicity minimizes off-target promiscuity. Chronic safety is expected to be high, with manageable on-target noradrenergic and serotonergic effects.",0.38675,ELITE,"The Serotonin-Norepinephrine Reuptake Inhibitor (SNRI) mechanism is a highly validated, elite-tier target class for CNS indications (depression, anxiety, and neuropathic pain). The biological signaling pathways, downstream neuroplastic effects, and feedback loops are exhaustively characterized with a deep clinical track record of multiple chemically distinct approvals. On-target liabilities are well-understood and clinically manageable, primarily consisting of noradrenergic-driven dose-dependent blood pressure elevations and serotonergic gastrointestinal/sexual side effects. The provided small, polar scaffold (featuring a tertiary amine and dual hydroxyl groups) strongly predicts excellent blood-brain barrier penetrance and high oral bioavailability. This translates to a low-to-moderate clinical dose requirement (likely <100mg), minimizing the hepatic burden and mitigating idiosyncratic DILI risk. There is no 'graveyard' stigma attached to this target class."
Duloxetine,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2004,,,approved,CNS,,approved_control,Approved controls (success),CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,ZEUITGRIYCTCEM-KRWDZBQOSA-N,60835,OK,2004.0,25,"The molecule presents a classic, highly efficient scaffold for monoamine transporter inhibition. With a molecular weight under 300 g/mol, a single hydrogen bond donor, and a TPSA of ~21 Å², it possesses near-perfect physicochemical properties for rapid and extensive blood-brain barrier penetration (CNS MPO is elite). The basic secondary amine (pKa ~9.5) is structurally essential for anchoring to the conserved aspartate residue in the SERT/NET binding pockets. However, the reliance on a naphthyl ether and a thiophene ring drives the cLogP towards the upper limit of the CNS optimal range (~3.5-4.0). The thiophene ring is a known metabolic liability, susceptible to CYP-mediated epoxidation or S-oxidation, which can lead to reactive intermediates and potential idiosyncratic toxicity. Furthermore, the combination of a flexible basic amine and two bulky lipophilic aromatic systems triggers a hERG pharmacophore alert. Fortunately, the low overall molecular weight and lack of excessive 'grease' beyond what is required for target engagement mitigate the severity of the hERG risk. Metabolism will likely be driven by N-demethylation and aromatic hydroxylation. Given the highly validated SNRI mechanism and the molecule's high ligand efficiency, the required clinical dose should be low enough to keep the hepatic burden and bioactivation risks within acceptable limits for chronic CNS therapy. Tox Summary: Not Clean (Thiophene bioactivation risk and moderate hERG liability, but manageable within the therapeutic window).",Medium,Thiophene ring (risk of reactive epoxide/S-oxide formation),0.8,Excellent physicochemical properties and low molecular weight strongly support oral bioavailability and tolerability. The hERG and thiophene bioactivation risks are noted but are unlikely to cause Phase 1 failure at the anticipated low doses.,0.65,The SNRI mechanism is highly validated with low biological uncertainty. The molecule's low TPSA and optimal lipophilicity guarantee target engagement in the CNS.,0.55,"Chronic administration of thiophene-containing molecules carries a non-zero risk of idiosyncratic hepatotoxicity, and noradrenergic/serotonergic side effects will be present. However, the class has a strong track record of Phase 3 success.",0.286,ELITE,"The Serotonin-Norepinephrine Reuptake Inhibitor (SNRI) mechanism is a highly validated, elite-tier pharmacological paradigm for CNS indications, including major depressive disorder, anxiety, and neuropathic pain. The biological uncertainty is exceptionally low; the signaling pathways, downstream neuroplastic effects, and receptor adaptations are well-characterized. Dual inhibition of SERT and NET provides a robust therapeutic rationale, particularly for somatic and neuropathic pain syndromes where descending inhibitory pain pathways rely heavily on norepinephrine. On-target toxicities are well-documented and clinically manageable, primarily consisting of noradrenergic effects (mild dose-dependent increases in blood pressure and heart rate) and serotonergic effects (gastrointestinal distress, sexual dysfunction). The class does not suffer from the graveyard attrition seen in novel neuropsychiatric targets. Assuming standard moderate dosing (30-100 mg) typical for high-affinity monoamine transporter inhibitors, the hepatic burden is acceptable for chronic administration."
Levomilnacipran,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),CCN(CC)C(=O)[C@]1(C[C@H]1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-DZGCQCFKSA-N,6917779,OK,2013.0,12,"This is a masterclass in minimalist, high-fidelity CNS drug design. With a molecular weight under 250 Da, a cLogP hovering around 1.5-2.0, and a TPSA of 46 Å², this scaffold perfectly threads the needle for blood-brain barrier penetrance without paying the 'grease tax'. The cyclopropane core is a brilliant structural element: it conformationally locks the spatial relationship between the primary amine, the phenyl ring, and the diethylamide, minimizing the entropic penalty upon target binding and driving exceptional ligand efficiency (LipE). The metabolic profile is predictable and manageable; the N,N-diethylamide will inevitably undergo CYP-mediated N-dealkylation, and the unsubstituted phenyl ring is susceptible to para-hydroxylation. However, these are standard Phase I transformations that yield polar, easily cleared metabolites rather than reactive, toxic intermediates. The molecule is entirely devoid of hERG liabilities—it lacks the extended hydrophobic bulk required to plug the potassium channel—and carries zero mechanism-based inactivation (MBI) or DILI alerts. Tox Summary: Clean.",Medium,,0.85,"Exceptional physicochemical properties with no structural alerts, MBI, or hERG liabilities. The lack of lipophilic bulk and reactive moieties makes Phase 1 safety highly probable.",0.65,"The highly compact, rigidified scaffold ensures excellent BBB penetrance and high ligand efficiency for the deeply validated SNRI target class.",0.75,"Low molecular weight, low lipophilicity, and a low anticipated clinical dose virtually eliminate idiosyncratic DILI and chronic toxicity risks.",0.414375,ELITE,"The SNRI (Serotonin-Norepinephrine Reuptake Inhibitor) mechanism is deeply validated for CNS indications, including major depressive disorder and chronic pain syndromes. The biological pathways are well-characterized, and the mechanism class has a robust historical track record with multiple chemically distinct approvals. On-target pharmacology carries known, manageable liabilities—primarily noradrenergic-driven cardiovascular effects (mild hypertension, tachycardia) and serotonergic effects (GI upset, sexual dysfunction)—none of which represent hard clinical stops. The provided scaffold is highly compact, polar, and structurally efficient, suggesting excellent blood-brain barrier penetrance and high ligand efficiency. Consequently, the anticipated clinical dose is low-to-moderate (<100 mg/day), which significantly mitigates the risk of high hepatic burden and idiosyncratic DILI. The primary biological risk here is not mechanistic failure or toxicity, but rather the inherent noise of CNS clinical trials."
Milnacipran,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2009,,,approved,CNS,,approved_control,Approved controls (success),CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-HIFRSBDPSA-N,65833,OK,2009.0,8,"This is a rare example of disciplined, minimalist MedChem. The scaffold achieves the requisite SNRI pharmacophore—an aromatic ring and a basic amine—without resorting to the gratuitous lipophilic bulk that typically ruins CNS candidates. The 1,1,2-trisubstituted cyclopropane core is a brilliant structural element: it rigidly locks the spatial relationship between the phenyl, the diethylamide, and the aminomethyl groups, pre-organizing the bioactive conformation and minimizing the entropic penalty of binding. With a MW under 250, a cLogP hovering around 2.0, and a TPSA of 55 Å², this molecule sits perfectly in the CNS MPO Goldilocks zone. The high Fsp3 fraction ensures excellent aqueous solubility and brain penetrance. Crucially, by separating the primary amine from the cyclopropane ring with a methylene spacer, the design elegantly sidesteps the MAO suicide inhibition liability inherent to direct cyclopropylamines. Metabolic liabilities are restricted to predictable N-deethylation of the amide and minor oxidative deamination, but the low lipophilicity suggests a healthy degree of renal clearance. There are no hERG or DILI flags here; the molecule is simply too small and polar to trigger grease-driven off-target promiscuity. Tox Summary: Clean.",High,,0.85,Exceptional physicochemical properties with low MW and optimal cLogP. The absence of lipophilic bulk eliminates hERG and DILI risks. High aqueous solubility and lack of structural alerts ensure a smooth safety profile.,0.65,"Deeply validated SNRI mechanism combined with a scaffold perfectly tuned for BBB penetration and target engagement. The rigid cyclopropane core minimizes entropic loss, driving high LipE.",0.45,"A clean safety profile, predictable metabolism, and low dose requirements make this highly suitable for chronic CNS administration. Clinical execution remains the primary hurdle.",0.248625,ELITE,"The SNRI (Serotonin-Norepinephrine Reuptake Inhibitor) mechanism is deeply validated for CNS indications with a rich historical track record of clinical success. The biological uncertainty is exceptionally low; the pathways and downstream effects of SERT/NET blockade are well-characterized. The provided small, highly Fsp3-enriched scaffold (MW < 250) suggests highly efficient target engagement and excellent blood-brain barrier penetration without the need for massive, liver-taxing doses. Consequently, the risk of dose-dependent DILI is minimal. On-target pharmacology will require standard monitoring for NET-driven cardiovascular effects (mild blood pressure/heart rate elevations) and SERT-driven GI/sexual side effects, but these are manageable and expected for the class. The primary hurdle is not biological feasibility, but the inherent clinical trial execution risks associated with CNS indications."
Vilazodone,,SSRI/5-HT1A partial agonist,SERT and 5-HT1A receptor,Depression,Approved,2011,,,approved,CNS,,approved_control,Approved controls (success),C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,SGEGOXDYSFKCPT-UHFFFAOYSA-N,6918314,OK,2011.0,12,"The molecule is a dual SSRI/5-HT1A partial agonist featuring a piperazine core linked to an indole-5-carbonitrile and a benzofuran-2-carboxamide. The physicochemical properties are highly optimized for CNS penetration: MW is ~401, cLogP is estimated around 3.0-3.5, and TPSA is ~85 Å², fitting perfectly within the CNS MPO 'Goldilocks' zone. The basic piperazine nitrogen provides good solubility and target engagement vectors for aminergic GPCRs/transporters. The presence of a basic amine linked via a flexible butyl chain to a lipophilic indole system does trigger a mild hERG pharmacophore alert. However, the overall lipophilicity is well-controlled, and the polar benzofuran-carboxamide moiety helps mitigate excessive non-specific lipid partitioning. The biological rationale is exceptionally strong, with the dual mechanism offering synergistic efficacy and a potentially faster onset of action at low clinical doses (<50 mg/day). This low dose requirement significantly de-risks potential systemic liabilities, including DILI and hERG. The primary metabolic soft spots are the butyl linker (hydroxylation) and the piperazine ring, but these are standard and manageable. No severe structural alerts or toxicophores are present. Tox Summary: Clean.",Medium,"None. Mild hERG flag due to basic amine + flexible linker + lipophilic tail, but mitigated by overall MPO and low projected dose.",0.85,Excellent physicochemical profile for CNS. Low projected dose minimizes systemic toxicity and hERG risks. No reactive metabolites expected.,0.65,Highly validated dual mechanism (SERT + 5-HT1A) with strong clinical precedent. The primary risk is the inherent placebo response and noise in CNS efficacy trials.,0.55,"Strong safety profile and well-understood on-target effects (GI, mild agitation) make it highly suitable for chronic administration. Commercial viability is strong if the faster onset of action is demonstrated.",0.303875,ELITE,"The dual mechanism of SERT inhibition (SSRI) combined with 5-HT1A partial agonism is a highly validated, synergistic approach for CNS mood disorders. The biological rationale is exceptionally strong: 5-HT1A partial agonism accelerates the desensitization of somatodendritic autoreceptors, theoretically shortening the delayed onset of action typical of pure SSRIs while mitigating SSRI-induced sexual dysfunction. The target biology is deeply characterized with decades of clinical precedent. Because these targets are typically engaged with high-affinity binding, the required clinical dose is expected to be low (<50 mg/day), keeping the hepatic burden and DILI risk minimal. On-target toxicities (GI upset, insomnia, mild agitation) are well-understood, manageable, and rarely dose-limiting. The primary biological risk here is not toxicity, but the inherent noise of CNS indications."
Vortioxetine,,Multimodal serotonergic,"SERT, 5-HT1A/1B/3/7 receptors",Depression,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,YQNWZWMKLDQSAC-UHFFFAOYSA-N,9966051,OK,2013.0,15,"This molecule is a masterclass in minimalist design, though it relies heavily on a 'grease tax' to achieve its goals. At under 300 Da (21 heavy atoms), the ligand efficiency (LE) is elite. The scaffold is a diaryl thioether piperazine, acting as a highly efficient, brute-force CNS penetrant. The physicochemistry is extreme: a cLogP pushing 4.5-5.0 paired with a TPSA under 20 Å². While this guarantees massive blood-brain barrier (BBB) transit, it creates a textbook liability triad: a basic secondary amine (pKa ~9), high lipophilicity, and negligible polarity. This is the exact geometric and electronic recipe for hERG channel blockade, high non-specific binding, and lysosomotropism (phospholipidosis). Mentally simulating the metabolism, the molecule will be rapidly processed by CYPs, with obvious soft spots being S-oxidation of the thioether to sulfoxides/sulfones and benzylic oxidation of the 2,4-dimethylphenyl ring. However, as the biological advisory correctly identifies, the saving grace is the sheer efficiency of the pharmacophore. It will drive sub-nanomolar target engagement, pushing the clinical dose into the low milligram range (<25 mg/day). This low systemic exposure is the ultimate safety buffer, neutralizing the DILI risk normally associated with high-cLogP molecules (Rule of Two) and widening the hERG safety margin. The 'multimodal' pharmacology is less a feat of precise 3D vectoring and more an inevitable consequence of exposing aminergic GPCRs to a basic, lipophilic motif. Tox Summary: Clean. The inherent physicochemical liabilities of the greasy, basic scaffold are rescued entirely by the exceptionally low dose requirement.",Medium,"N-aryl piperazine (theoretical risk of reactive iminium formation via CYP oxidation, though heavily sterically shielded by the ortho-thioether linkage)",0.85,"The exceptionally low molecular weight and low projected clinical dose provide a massive safety margin against the inherent hERG and phospholipidosis risks associated with basic, lipophilic amines.",0.55,Massive BBB penetration and high ligand efficiency guarantee target engagement; the primary attrition risk is the notoriously high placebo response inherent to psychiatric indications.,0.5,"The low daily hepatic burden minimizes chronic DILI risk, supporting long-term safety and tolerability in a chronic CNS patient population.",0.23375,ELITE,"The multimodal serotonergic mechanism is deeply validated for CNS indications. Modulating multiple 5-HT receptor subtypes (e.g., 5-HT1A agonism, 5-HT3/5-HT7 antagonism) alongside SERT inhibition is a rational, well-characterized strategy to mitigate classic SSRI-induced liabilities like GI distress and sexual dysfunction while potentially broadening efficacy into cognitive domains. The structural footprint—a low molecular weight (<300 Da) diaryl thioether piperazine—is a highly efficient, classic CNS-penetrant pharmacophore. This predicts high target occupancy at low systemic doses (likely <25mg/day). Consequently, the hepatic burden is minimal, effectively neutralizing DILI risk. The biological uncertainty is exceptionally low; the primary hurdle is not safety or mechanism, but the notoriously high placebo response rates inherent to psychiatric clinical trials."
Agomelatine,,Melatonin agonist,MT1/MT2 and 5-HT2C receptors,Depression,Approved,2009 (EU),,,approved,CNS,,approved_control,Approved controls (success),CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,YJYPHIXNFHFHND-UHFFFAOYSA-N,82148,OK,2009.0,25,"The scaffold presents an exceptional physicochemical profile for CNS penetration: MW < 250, TPSA ~38 Å², and a cLogP in the ideal 2.5-3.0 range. The absence of a basic amine completely bypasses standard hERG pharmacophore liabilities, and the low molecular weight ensures high ligand efficiency (LipE). However, the structural elegance is compromised by significant metabolic liabilities. The electron-rich naphthalene core, activated by the methoxy substituent, is a prime substrate for rapid CYP1A2-mediated oxidation. This will likely drive high first-pass clearance, resulting in a short half-life. More critically, CYP-mediated epoxidation of the naphthalene ring risks the formation of reactive arene oxides. While the biological advisory correctly notes that the low anticipated clinical dose (<50 mg) mitigates dose-dependent toxicity and avoids the 'Rule of Two' DILI threshold, the intrinsic electrophilic potential of the metabolites maintains a non-zero risk for idiosyncratic hepatotoxicity. Tox Summary: Not Clean (Arene oxide formation risk).",Low,Electron-rich methoxynaphthalene core (susceptible to arene oxide formation),0.8,"Excellent physicochemical properties and lack of hERG liability ensure a wide acute safety margin. The low dose mitigates immediate toxicity, though rapid first-pass clearance is expected.",0.6,Guaranteed BBB penetration and a highly validated mechanism of action (melatonin agonism) strongly support target engagement and proof-of-concept efficacy.,0.4,"Chronic administration in a broad population exposes the idiosyncratic DILI risk stemming from arene oxide formation on the naphthalene core, which remains a significant hurdle despite the low total body burden.",0.192,ELITE,"The biological rationale for Melatonin (MT1/MT2) agonism in CNS indications (sleep, circadian rhythm, and mood disorders) is exceptionally well-characterized and validated. Unlike GABA-A positive allosteric modulators or dual orexin receptor antagonists, melatonin agonists do not carry risks of respiratory depression, severe cognitive impairment, or abuse liability, making the on-target toxicity profile highly favorable for chronic use. The provided scaffold is a low-molecular-weight (<250 Da), uncharged, lipophilic entity that will easily cross the blood-brain barrier. Consequently, the predicted clinical dose is very low (<50 mg). While the planar aromatic system suggests susceptibility to rapid CYP-mediated first-pass metabolism (likely CYP1A2), the overall hepatic burden remains minimal, mitigating dose-dependent DILI risks. This is a textbook example of a low-uncertainty, high-feasibility biological mechanism."
Selegiline,,MAO-B inhibitor,Monoamine Oxidase B (MAO-B),Parkinson/Depression,Approved,2006,,,approved,CNS,,approved_control,Approved controls (success),C[C@H](CC1=CC=CC=C1)N(C)CC#C,MEZLKOACVSPNER-GFCCVEGCSA-N,26757,OK,2006.0,75,"Physicochemically, this molecule is a highly efficient CNS penetrant (MW < 200, TPSA < 5 Å², cLogP ~2.5). The propargylamine moiety acts as a deliberate suicide-inhibition warhead. Under the Covalent Pharmacology Rule, this is an intended mechanistic feature rather than an accidental MBI liability, driving extreme potency and allowing for very low clinical doses that bypass DILI risk. However, the structural design contains a fatal MedChem flaw: the phenylisopropylamine backbone. 'Mental metabolism' dictates predictable CYP-mediated N-dealkylation (loss of the propargyl and methyl groups), which will release potent sympathomimetic primary and secondary amines (amphetamine analogs). This hardwires cardiovascular toxicity, insomnia, and abuse liability directly into the clinical profile. Furthermore, the irreversible nature of the warhead means any dose-creep that hits MAO-A will precipitate a fatal tyramine pressor response. While target engagement is guaranteed, the metabolic liabilities of this specific scaffold are severe. Tox Summary: Not Clean (Sympathomimetic active metabolites).",Low,Phenylisopropylamine core (yields amphetamine-like active metabolites via N-dealkylation); Propargylamine (irreversible MAO-A crossover risk),0.4,"High risk of acute sympathomimetic side effects (tachycardia, hypertension) driven by rapid N-dealkylation to active metabolites.",0.85,Target engagement is virtually guaranteed due to perfect CNS MPO and the irreversible covalent mechanism.,0.2,Chronic safety is severely compromised by the continuous generation of amphetamine-like metabolites and the razor-thin therapeutic index regarding MAO-A selectivity (cheese effect).,0.068,CAUTION,"MAO-B is a deeply validated target for CNS dopaminergic modulation, and the propargylamine moiety dictates an irreversible, suicide-inhibition mechanism. This guarantees high target occupancy at very low clinical doses (<10 mg/day), effectively eliminating DILI risk. However, this specific structural approach is biologically flawed. The phenylisopropylamine backbone is a massive liability: it will undergo predictable CYP-mediated N-dealkylation to yield amphetamine-like active metabolites, hardwiring sympathomimetic toxicity (insomnia, tachycardia, abuse liability) into the clinical profile. Furthermore, irreversible MAO inhibitors operate on a razor-thin therapeutic index regarding selectivity; any dose-creep that inhibits MAO-A will precipitate a fatal tyramine pressor response ('cheese effect'). While the primary target biology is highly validated, the metabolic and selectivity liabilities of this specific scaffold demand strict clinical monitoring."
Esketamine,,NDMA antagonist,NMDA receptor,Depression,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),CN[C@@]1(CCCCC1=O)C2=CC=CC=C2Cl,YQEZLKZALYSWHR-ZDUSSCGKSA-N,182137,OK,2019.0,45,"This is a remarkably atom-efficient, low-molecular-weight (MW < 250) scaffold with near-perfect physicochemical properties for CNS penetration. The TPSA (~29 Å²) and cLogP (~2.5-3.0) sit squarely in the Goldilocks zone, guaranteeing rapid blood-brain barrier transit. Structurally, the ortho-chloro substituent elegantly forces the phenyl ring out of coplanarity with the cyclohexanone, locking a bioactive conformation. The quaternary alpha-amino ketone is sterically congested, preventing alpha-deprotonation, though the N-methyl group remains a glaring soft spot for rapid CYP-mediated oxidative N-demethylation, likely yielding an active primary amine metabolite. Furthermore, the ketone is susceptible to reduction via aldo-keto reductases. While the MedChem metrics are elite (high LipE potential, zero hERG risk due to minimal size and lack of an extended lipophilic tail), the biological advisory dictates a severe 30-point penalty. The very properties that make this a perfect CNS penetrant—low TPSA and high lipophilicity—will drive a massive Cmax spike, directly fueling the psychotomimetic and dissociative liabilities inherent to NMDA antagonism. Tox Summary: Clean chemically, but biologically treacherous due to on-target mechanism.",Medium,None chemically; primary liability is Cmax-driven on-target neurotoxicity.,0.65,"Rapid BBB penetration and Cmax spikes will likely trigger dose-limiting psychotomimetic adverse events in healthy volunteers, severely narrowing the tolerable dose range.",0.4,"Target engagement is highly probable given the optimal CNS MPO, but demonstrating a safe therapeutic window between efficacy and dissociative states will be extremely challenging.",0.15,"Chronic outpatient use faces massive attrition risk due to abuse liability, cognitive impairment, and psychiatric adverse events, limiting viability to acute or strictly supervised settings.",0.039,CAUTION,"NMDA receptor antagonism is a biologically validated but clinically treacherous mechanism for CNS indications. While the pathway is well-characterized for modulating synaptic plasticity and excitatory neurotransmission, the on-target pharmacology inherently drives severe dose-limiting liabilities, including dissociative states, psychotomimetic effects, and high abuse potential. The therapeutic window between efficacy and hallucinations is notoriously razor-thin. Because this small, highly lipophilic molecule will rapidly cross the blood-brain barrier, Cmax-driven neurotoxicity will dictate the maximum tolerated dose. While acceptable for acute, severe indications (e.g., refractory psychiatric crises or anesthesia) under strict clinical supervision, chronic outpatient use faces massive attrition risk due to cognitive impairment and psychiatric adverse events."
