compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status,year_clean,Edward Score V23,Rationale V23,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V23,P1 Rationale V23,P2 Prob V23,P2 Rationale V23,P3 Prob V23,P3 Rationale V23,TCSP V23,Salah Verdict V23,Biological Risk V23
Fluoxetine,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1987,,,approved,CNS,,approved_control,Approved controls (success),CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,3386,OK,1987.0,82,"The molecule presents a classic 'grease and base' liability profile. While the low molecular weight (<350) and minimal TPSA (~21 Å²) guarantee excellent blood-brain barrier penetration, the physicochemical balance is heavily skewed by the trifluoromethyl-aryloxy moiety, pushing cLogP into the dangerous >4.0 territory. This high lipophilicity, combined with a basic secondary amine (pKa ~9.5), creates a textbook hERG pharmacophore (basic center, 3-carbon spacer, massive hydrophobic cluster), guaranteeing QTc prolongation risks. Furthermore, this exact spatial arrangement is a potent pharmacophore for CYP2D6 binding, leading to severe mechanism-based inhibition (MBI) and massive Drug-Drug Interaction (DDI) liabilities, as highlighted by the biological advisory. Metabolically, while the CF3 group protects one ring from oxidation, N-demethylation of the secondary amine will yield a primary amine metabolite with an exceptionally long half-life, exacerbating accumulation and toxicity in chronic CNS dosing. The biological penalty (+25) for these historical target and structural stigmas is fully justified. Tox Summary: Not Clean.",High,"['Basic secondary amine + 3-carbon spacer + diaryl system (hERG and CYP2D6 liability)', 'Trifluoromethyl-aryloxy ether (drives extreme lipophilicity and prolonged half-life)']",0.45,"Significant risk of QTc prolongation due to the classic hERG pharmacophore, combined with potent CYP2D6 inhibition leading to early clinical DDI flags.",0.4,"Excellent CNS penetration and likely high target engagement due to the lipophilic diaryl ether motif, though lysosomal trapping of the lipophilic base may reduce the free brain fraction.",0.15,Chronic dosing in a polypharmacy CNS population will be severely compromised by CYP2D6-mediated DDIs and dangerous drug accumulation from the long-lived N-demethylated metabolite.,0.027,CAUTION,"While SERT inhibition is a highly validated mechanism for CNS disorders, developing a novel SSRI today is fraught with clinical and metabolic landmines. The structural features here—specifically the trifluoromethyl-aryloxy ether and secondary amine—strongly predict extensive hepatic metabolism, a very long half-life, and potent mechanism-based inhibition of CYP2D6. This guarantees a massive Drug-Drug Interaction (DDI) liability in a polypharmacy CNS population. Furthermore, the molecule inherits class-wide SSRI liabilities: QTc prolongation, sexual dysfunction, GI intolerability, and the black-box risk of paradoxical suicidality in young adults. The long half-life predicted by this highly lipophilic, halogenated scaffold risks severe drug accumulation and serotonin syndrome if mismanaged."
Sertraline,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1991,,,approved,CNS,,approved_control,Approved controls (success),CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,VGKDLMBJGBXTGI-SJCJKPOMSA-N,68617,OK,1991.0,65,"The molecule presents a highly rigid, low-molecular-weight (MW 306) scaffold, which is entropically favorable. However, it suffers from severe lipophilic bloat. With a cLogP approaching 5.0 and a TPSA of merely 12 Å², this is a classic 'greaseball' that will indiscriminately partition into lipid bilayers, guaranteeing a massive volume of distribution. The combination of a strongly basic secondary amine (pKa > 9) and the bulky, highly lipophilic 3,4-dichlorophenyl-tetrahydronaphthalene system creates a textbook hERG pharmacophore and strongly predicts lysosomotropism and phospholipidosis. Furthermore, this structural motif is a notorious competitive inhibitor of CYP2D6 and CYP2C19, validating the biological advisory's DDI concerns. While the halogens block some aromatic oxidation, the molecule relies entirely on hydrophobic collapse rather than high-quality polar contacts, suggesting a poor LipE. The 20-point biological penalty for target stigma and DDI liability is fully justified by the physicochemical reality of this structure. Tox Summary: Not Clean (hERG liability, CYP2D6 inhibition, Phospholipidosis risk).",Medium,"['3,4-dichlorophenyl (lipophilic bloat/off-target driver)', 'Basic secondary amine + lipophilic core (hERG/phospholipidosis alert)']",0.55,"Phase 1 success is compromised by the high risk of QTc prolongation (hERG) and severe CYP-mediated drug-drug interactions driven by the basic, highly lipophilic scaffold.",0.35,"Brain penetration and target engagement are guaranteed by the physicochemical profile (TPSA 12), but the notoriously high placebo response in CNS indications severely limits Phase 2 probability.",0.15,"Chronic administration of a highly lipophilic, promiscuous amine carries significant long-term tolerability risks, compounded by the heavy regulatory baggage and black-box warnings associated with this mechanistic class.",0.028875,CAUTION,"While SERT inhibition is a clinically validated mechanism for CNS disorders, the biological risk profile is far from benign. The highly lipophilic, di-halogenated scaffold combined with a basic secondary amine guarantees extensive hepatic clearance, high volume of distribution, and BBB penetration. This structural motif strongly predicts CYP450 inhibition (particularly CYP2D6/2C19), creating a severe Drug-Drug Interaction (DDI) liability and potential hepatic burden. Furthermore, the SSRI class carries inherent regulatory baggage, including black-box warnings for pediatric suicidality and dose-limiting tolerability issues (QTc prolongation, sexual dysfunction). In late-stage clinical development, the primary attrition driver will be the notoriously high placebo response rates in CNS indications, coupled with a therapeutic window constrained by CYP-mediated DDIs and off-target promiscuity driven by the lipophilic halogenated rings."
Paroxetine,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1992,,,approved,CNS,,approved_control,Approved controls (success),C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,AHOUBRCZNHFOSL-YOEHRIQHSA-N,43815,OK,1992.0,72,"Physicochemically, this NCE is highly optimized for CNS penetration. With a MW of 329, TPSA of 39 Å², and an estimated cLogP of ~3.2, it sits perfectly within the CNS MPO Goldilocks zone. The para-fluoro substitution is a textbook MedChem maneuver to block CYP-mediated aromatic oxidation at a highly vulnerable soft spot. However, the structural inclusion of the benzodioxole (methylenedioxy) moiety is a severe flaw for a modern NCE. As noted in the biological advisory, this motif is a notorious mechanism-based inhibitor (MBI) of CYP2D6, undergoing metabolic cleavage to form a reactive carbene that irreversibly coordinates to the CYP heme iron. While the low MW and high predicted LipE suggest a low clinical dose—potentially mitigating overt DILI—the resulting time-dependent inhibition (TDI) guarantees catastrophic drug-drug interactions (DDIs). In a psychiatric indication requiring chronic dosing and polypharmacy, this DDI profile is a massive liability. The secondary amine (pKa ~9.5) presents a baseline hERG liability, though the rigid, compact scaffold lacks the classic 3-4 methylene spacer, somewhat attenuating channel affinity. Tox Summary: Not Clean (Severe CYP2D6 MBI/TDI risk).",Medium,['Benzodioxole (methylenedioxy) - CYP450 suicide inhibition via reactive carbene formation'],0.45,"Excellent physicochemical properties and low predicted dose will likely clear acute safety, but the severe CYP2D6 time-dependent inhibition (TDI) and DDI signals will heavily complicate the Phase 1b/DDI cohort readouts.",0.4,"The SSRI mechanism is clinically validated and the molecule's CNS MPO guarantees target exposure. However, high placebo response rates in psychiatric trials introduce significant statistical noise.",0.2,"The DDI liability stemming from the benzodioxole moiety will severely restrict its use in a polypharmacy-heavy patient population, making chronic safety and commercial viability highly questionable.",0.036,CAUTION,"The SSRI mechanism is clinically validated, meaning the primary target is not a graveyard. However, the structural inclusion of a methylenedioxy (benzodioxole) moiety is a severe biological liability. This functional group is notorious for undergoing CYP-mediated cleavage to form reactive carbene intermediates, leading to irreversible, mechanism-based time-dependent inhibition (TDI) of CYP2D6. In a psychiatric patient population heavily reliant on polypharmacy, this guarantees catastrophic drug-drug interactions (DDIs) and non-linear pharmacokinetics. While the required dose will likely be low enough to avoid overt DILI, the DDI profile will severely restrict its clinical utility. Furthermore, CNS efficacy trials are notoriously plagued by high placebo response rates, making Phase 3 separation highly unpredictable."
Citalopram,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1998,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-UHFFFAOYSA-N,2771,OK,1998.0,58,"Physicochemically, this NCE is a CNS MPO masterpiece: MW < 350, TPSA ~36 Å², HBD = 0, and cLogP ~3.5. This profile guarantees excellent blood-brain barrier penetration and suggests a high Lipophilic Efficiency (LipE) if target affinity is strong. However, the structural architecture is a textbook hERG liability. The basic tertiary dimethylamine (pKa ~9.5) is tethered via a highly flexible 3-carbon spacer to a bulky, lipophilic bis-aryl cluster (fluorophenyl and cyano-isobenzofuran). This perfectly matches the pharmacophore for high-affinity binding to the central cavity of the Kv11.1 (hERG) potassium channel. Metabolically, the molecule is well-designed: the para-fluoro substitution effectively blocks the primary site for CYP-mediated aromatic oxidation, shunting clearance toward predictable N-demethylation. As noted in the biological advisory, the low projected dose (<50 mg) mitigates DILI risk, but the QTc prolongation threat remains the primary hurdle. The +15 penalty for CNS target stigma is applied due to the notorious placebo response rates in this space. Tox Summary: Clean regarding reactive metabolites, but flagged for significant hERG/cardiac liability.",High,"None (Toxicity risk is driven by 3D pharmacophore/hERG, not reactive fragments)",0.65,"Excellent physicochemical properties and lack of reactive metabolites support general safety, but the glaring hERG pharmacophore introduces significant QTc prolongation risk in healthy volunteers, capping Phase 1 probability.",0.35,"While the target class is deeply validated, CNS psychiatric indications suffer from massive placebo responses, severely depressing Phase 2 signal-to-noise ratios.",0.45,"If efficacy is proven, chronic safety is generally manageable at low doses, though any lingering QTc signals from Phase 1/2 will require expensive, large-scale cardiovascular monitoring.",0.102375,CAUTION,"The SSRI target class is deeply validated, meaning biological feasibility is high and required clinical doses are typically low (<50 mg). This low dose-burden protects the liver from massive xenobiotic clearance, keeping DILI risk minimal. However, the structural presence of a basic dimethylamine tethered to a lipophilic, halogenated multi-ring system is a textbook pharmacophore for hERG channel promiscuity. The primary biological risk here is dose-limiting QTc prolongation, a known killer of CNS assets. Furthermore, while the mechanism is relatively safe, the CNS psychiatric space is notorious for massive Phase 2/3 attrition due to overwhelming placebo responses rather than target failure."
Fluvoxamine,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1994,,,approved,CNS,,approved_control,Approved controls (success),COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,CJOFXWAVKWHTFT-XSFVSMFZSA-N,5324346,OK,1994.0,68,"Physicochemically, this NCE presents an attractive CNS profile on paper (MW < 350, TPSA ~ 55 Å², cLogP ~ 3.2). However, structural inspection reveals a highly flexible, surfactant-like topology. The molecule possesses 9 rotatable bonds, approaching the 'Balloon' limit, which incurs a massive entropic penalty upon binding and suggests potency is driven by non-specific lipophilic 'grease' rather than high-quality directional interactions (poor LipE). The combination of a strongly basic primary amine (pKa > 9) linked via a flexible oxime ether to a highly lipophilic p-trifluoromethylphenyl core constitutes a classic pharmacophore for both hERG channel blockade and potent CYP450 (particularly CYP2D6/1A2) inhibition. This structural reality perfectly corroborates the biological advisory regarding severe DDI risks and QTc prolongation. Furthermore, the terminal methoxybutyl chain provides an exposed metabolic soft spot for O-demethylation, while the primary amine is susceptible to oxidative deamination. Tox Summary: Not Clean (High DDI and hERG liability via basic amine/lipophilic core).",Medium,"['Primary amine linked to lipophilic core (hERG/CYP liability)', 'p-Trifluoromethylphenyl (high lipophilicity driver)']",0.45,Significant risk of QTc prolongation (hERG) and severe CYP-mediated DDIs driven by the basic amine and lipophilic CF3-phenyl group.,0.35,"High flexibility (9 rotatable bonds) suggests poor LipE, while the CNS psychiatric indication is plagued by massive placebo responses.",0.15,"Chronic safety is severely compromised by the DDI profile, potential for phospholipidosis, and class-wide psychiatric/cardiac stigmas.",0.023625,CAUTION,"While SERT inhibition (SSRI) is a clinically validated mechanism for CNS disorders, the class is heavily burdened by systemic and psychiatric liabilities. The primary biological risk for this lipophilic oxime-ether scaffold is severe drug-drug interactions (DDIs) driven by potent CYP450 inhibition (typically CYP1A2, 2D6, or 3A4) and subsequent liver burden. Furthermore, the CNS psychiatric space is a clinical minefield characterized by massive Phase 3 attrition due to overwhelming placebo responses. Class-wide safety stigmas, including QTc prolongation, sexual dysfunction, and paradoxical increases in adolescent suicidal ideation, require massive safety databases and severely narrow the therapeutic window."
Venlafaxine,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,1993,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,PNVNVHUZROJLTJ-UHFFFAOYSA-N,5656,OK,1993.0,70,"Physicochemically, this NCE presents an excellent CNS MPO profile: MW < 300, TPSA ~33 Å², and a cLogP in the ideal 2.5-3.0 range. Brain penetrance is virtually guaranteed. However, structurally, it is a metabolic nightmare. The molecule is heavily decorated with classic CYP450 liabilities: an N,N-dimethylamine and a methoxyarene. This guarantees rapid N- and O-demethylation, heavily reliant on polymorphic enzymes like CYP2D6. As Salah correctly points out, this structural reliance on hepatic clearance will result in massive inter-patient variability and severe DDI risks. Furthermore, the tertiary amine (pKa > 9) adjacent to a bulky, lipophilic bis-ring system (phenyl/cyclohexyl) constitutes a moderate hERG pharmacophore. When combined with the inherent norepinephrine-driven cardiovascular liabilities of the SNRI class and the high projected clinical dose (50-150 mg/day), the therapeutic index narrows dangerously. The +25 penalty for target stigma and CV risk is fully justified. Tox Summary: Not Clean (Polymorphic clearance liability, moderate hERG risk, CV toxicity).",Low,"['N,N-dimethylamine (Rapid N-demethylation/CYP liability)', 'Methoxyarene (O-demethylation/CYP2D6 polymorphic clearance)']",0.65,"Excellent physicochemical properties for oral absorption, but the basic amine and lipophilic core present a moderate hERG risk, compounded by mechanism-based cardiovascular liabilities (tachycardia/hypertension).",0.35,"Target engagement in the CNS is highly probable given the MPO, but efficacy readouts will be severely confounded by massive inter-patient pharmacokinetic variability (CYP2D6 poor vs. ultra-rapid metabolizers) and high psychiatric placebo responses.",0.4,"Chronic safety is compromised by the high required dose, sustained cardiovascular strain, and significant DDI risks stemming from its heavy reliance on hepatic CYP450 clearance.",0.091,CAUTION,"While the SNRI mechanism is clinically validated for CNS indications, the development path is a notorious graveyard due to overwhelming placebo responses in psychiatric trials. Pharmacologically, dual reuptake inhibition carries inherent dose-limiting cardiovascular liabilities—specifically norepinephrine-driven hypertension and tachycardia. Structurally, the presence of a tertiary amine and a methoxy-aryl group screams heavy reliance on hepatic CYP450 metabolism (classic N- and O-demethylation liabilities). This guarantees massive inter-patient variability due to polymorphic enzymes (e.g., CYP2D6) and significant drug-drug interaction (DDI) risks. To achieve the high transporter occupancy required for CNS efficacy, the clinical dose will likely push into the 50-150mg/day range, exacerbating both the cardiovascular toxicity window and the hepatic clearance burden."
Bupropion,,NDRI,NET and Dopamine Transporter (DAT),Depression,Approved,1985,,,approved,CNS,,approved_control,Approved controls (success),CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,SNPPWIUOZRMYNY-UHFFFAOYSA-N,444,OK,1985.0,55,"Physicochemically, this is an exceptionally efficient CNS penetrant. With a MW < 250, TPSA < 30 Å², and cLogP ~ 3.0, it perfectly hits the CNS MPO sweet spot, guaranteeing rapid blood-brain barrier crossing. The tert-butyl group provides excellent steric shielding to the secondary amine, effectively blocking rapid N-dealkylation. However, the alpha-aminoketone motif is a significant metabolic liability; it is highly susceptible to rapid carbonyl reduction, generating an active amino-alcohol metabolite that will accumulate and complicate the PK/PD profile. Integrating the biological advisory, the primary concern is not intrinsic chemical toxicity, but mechanism-driven neurotoxicity. The high CNS penetrance of this compact scaffold will drive sharp Cmax peaks, directly exacerbating the dose-limiting seizure liability inherent to dual DAT/NET inhibition. While the compact structure lacks the extended spacer required for high-affinity hERG binding, the peripheral sympathomimetic effects remain a severe risk. Tox Summary: Not Clean (Mechanism-driven neurotoxicity and active metabolite accumulation).",Medium,['Alpha-aminoketone (cathinone-like neuroexcitatory risk)'],0.65,"Compact size and optimal lipophilicity mitigate hERG and DILI risks. However, Cmax-driven sympathomimetic adverse events (tachycardia, agitation) will likely cap the maximum tolerated dose early in healthy volunteers.",0.4,Target engagement in the CNS is guaranteed given the elite physicochemical properties. The challenge will be demonstrating a statistically significant efficacy signal without breaching the narrow therapeutic index for seizures.,0.2,"Chronic administration will lead to the accumulation of active reduced metabolites, prolonging the seizure liability window. The cardiovascular burden of chronic NET inhibition further degrades the long-term safety profile.",0.052,CAUTION,"The NDRI (Norepinephrine-Dopamine Reuptake Inhibitor) mechanism is clinically validated for CNS indications but is plagued by a notoriously narrow therapeutic index. The primary, hard-stop dose-limiting toxicity for this class is a sharp, Cmax-driven reduction in the seizure threshold. Furthermore, dual DAT/NET inhibition carries inherent peripheral sympathomimetic liabilities, including dose-dependent tachycardia and hypertension. Given the structural features of this alpha-aminoketone-like scaffold, achieving adequate CNS receptor occupancy will likely require a moderate-to-high clinical dose (>100mg). This high dose burden, combined with the inherent neuroexcitatory nature of the target, creates a precarious safety window where efficacy and severe neurotoxicity (seizures, agitation, insomnia) overlap. Hepatic metabolism of such scaffolds often yields active metabolites that accumulate, prolonging the seizure liability window and complicating the pharmacokinetic profile."
Mirtazapine,,NaSSA,_2_-adrenergic and 5-HT2A/2C/3 receptors,Depression,Approved,1996,,,approved,CNS,,approved_control,Approved controls (success),CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,RONZAEMNMFQXRA-UHFFFAOYSA-N,4205,OK,1996.0,65,"The molecule presents as a highly rigid, compact tetracyclic system with exceptional physicochemical properties for CNS penetration: MW < 300 Da, cLogP ~2.8, TPSA < 20 Å², and zero rotatable bonds. This guarantees a low entropic penalty for binding and massive BBB permeability. However, this structural motif—a fused basic amine within a lipophilic, multi-aromatic framework—is a classic 'privileged scaffold' for aminergic GPCRs, ensuring profound polypharmacology. Integrating the biological advisory, this lack of selectivity inevitably drives off-target hits, particularly at the H1 receptor, leading to severe metabolic (hyperphagia) and sedative liabilities. Furthermore, the combination of a basic amine (pKa > 8) and a lipophilic core raises flags for hERG inhibition and drug-induced phospholipidosis (DIPL), although the low molecular weight and compact shape partially mitigate the severity of the hERG pharmacophore compared to extended flexible analogs. Metabolically, the N-methyl group is a prime target for rapid oxidative demethylation via CYPs, while the aromatic rings are susceptible to hydroxylation. While devoid of hard-kill toxicophores or suicide inhibitors, the clinical attrition risk is heavily dominated by the target-mediated adverse effects and promiscuity inherent to this scaffold. Tox Summary: Clean.",Medium,None specific (Promiscuous basic amine drives off-target liabilities),0.65,"Lacks reactive toxicophores, but the basic lipophilic amine presents moderate hERG and DIPL risks, alongside acute sedative effects from off-target H1 antagonism.",0.35,"Excellent BBB penetration ensures target engagement, but psychiatric trials suffer from high placebo responses and patient dropout due to intolerable metabolic side effects.",0.2,"Chronic administration is severely compromised by polypharmacology-driven weight gain and somnolence, limiting long-term patient compliance.",0.0455,CAUTION,"The NaSSA (Noradrenergic and Specific Serotonergic Antidepressant) mechanism is inherently a polypharmacological sledgehammer. By relying on a complex web of alpha-2 adrenergic and 5-HT2/3 receptor antagonism, these molecules inevitably hit the H1 histamine receptor with high affinity. This guarantees profound somnolence and severe metabolic liabilities, including hyperphagia and rapid weight gain. While the target class is clinically validated—sparing it from the 'graveyard' status of BACE1 or CETP—the clinical attrition risk remains substantial. Psychiatric CNS trials are plagued by massive placebo responses; when you combine marginal efficacy deltas with intolerable metabolic side effects, patient dropout rates soar. Furthermore, the highly lipophilic, basic amine scaffold required to drive this polypharmacology across the blood-brain barrier introduces classic liabilities for hERG inhibition and drug-induced phospholipidosis (DIPL)."
Trazodone,,Serotonin antagonist/reuptake inhibitor,5-HT2A receptor and SERT,Depression,Approved,1981,,,approved,CNS,,approved_control,Approved controls (success),C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,PHLBKPHSAVXXEF-UHFFFAOYSA-N,5533,OK,1981.0,78,"Physicochemically, this molecule presents an alluring CNS profile: MW < 400, cLogP ~3.3, TPSA < 50 Å², and zero hydrogen bond donors. It will cross the blood-brain barrier with ease. However, structurally, it is a MedChem minefield. The architecture features a basic piperazine nitrogen flanked by a flexible propyl tether and lipophilic aromatic systems—a textbook hERG pharmacophore. Metabolically, the propyl linker is highly susceptible to CYP-mediated oxidative N-dealkylation. This cleavage will release the 3-chlorophenylpiperazine fragment, a notoriously promiscuous and biologically active moiety that will wreak havoc across the GPCRome. Integrating the biological advisory: the high clinical dose required for SARI efficacy, combined with a cLogP > 3, triggers the Rule of Two for idiosyncratic DILI. The arylpiperazine scaffold guarantees off-target alpha-1 and H1 binding, obliterating the therapeutic window. Tox Summary: Not Clean (hERG, DILI, Active Metabolite).",Low,3-chlorophenylpiperazine (via N-dealkylation); potential reactive arene oxides from the chlorophenyl ring,0.45,"Significant hERG liability from the basic amine/propyl linker motif, compounded by high dose requirements elevating acute tolerability risks (orthostatic hypotension via alpha-1 antagonism).",0.35,"While CNS penetration and target engagement are highly probable, the razor-thin therapeutic window caused by GPCR promiscuity threatens clinical proof-of-concept.",0.15,Chronic administration at high doses (>50mg) with a cLogP > 3 presents a severe idiosyncratic DILI risk. The accumulation of the active chlorophenylpiperazine metabolite further degrades long-term safety.,0.023625,CAUTION,"The Serotonin Antagonist/Reuptake Inhibitor (SARI) mechanism is clinically validated but plagued by severe tolerability ceilings. Achieving the necessary dual-target occupancy (SERT + 5-HT2A) typically demands high clinical doses (>50-100mg/day). This high dose burden, coupled with the lipophilic basic amine (chlorophenylpiperazine) scaffold, guarantees extensive hepatic metabolism and elevates the risk of idiosyncratic DILI. Furthermore, this pharmacophore is notoriously promiscuous across the GPCRome, carrying high risks of alpha-1 adrenergic antagonism (orthostatic hypotension) and H1 antagonism (sedation). The basic piperazine nitrogen also introduces a classic hERG liability (QTc prolongation). The biological feasibility is intact, but the clinical safety window is razor-thin due to dose-mediated off-target burden."
Amitriptyline,,TCA,SERT and NET,Depression,Approved,1961,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,KRMDCWKBEZIMAB-UHFFFAOYSA-N,2160,OK,1961.0,88,"While the molecular weight is attractively low (<300 Da), this NCE is a physicochemical disaster. The structure is essentially a massive lipophilic brick attached to a basic tail. With a TPSA of ~3 Å² and a cLogP pushing 4.8-5.0, the LipE is abysmal. More critically, this molecule triggers a 'Hard Kill' structural alert: a strong basic center (tertiary dimethylamine, pKa ~9.5) linked via a 3-carbon spacer to a bulky, rigid hydrophobic tricyclic cluster. This is the textbook pharmacophore for potent hERG channel and voltage-gated sodium channel blockade, guaranteeing severe cardiovascular liabilities. Furthermore, the flat, greasy nature of the tricyclic system ensures rampant GPCR promiscuity (H1, M1, alpha-1), perfectly aligning with the biological advisory's warning of a narrow therapeutic index and off-target toxicity. Metabolically, it will act as a sponge for hepatic CYPs, undergoing rapid N-demethylation and aromatic hydroxylation. Tox Summary: Not Clean.",Low,"['hERG pharmacophore (basic amine + 3-carbon spacer + lipophilic tricyclic core)', 'Exocyclic double bond (potential for epoxidation/reactive intermediate formation)']",0.15,Hard Kill hERG alert and high risk of dose-limiting cardiovascular (QTc prolongation) and anticholinergic toxicities severely limit Phase 1 success.,0.35,"High lipophilicity and low TPSA guarantee BBB penetration and target engagement, but severe off-target adverse events will likely drive massive patient dropout rates.",0.04,"Chronic administration of a highly promiscuous, lipophilic amine with known arrhythmogenic potential and metabolic liabilities is commercially and clinically unviable in modern CNS trials.",0.0021,TERMINATE,"The tricyclic monoamine reuptake inhibitor (TCA) class is a pharmacological nightmare by modern standards. While the primary mechanism (SERT/NET inhibition) is validated for CNS disorders, the tricyclic scaffold is inherently promiscuous. You are buying massive off-target liabilities: M1 (severe anticholinergic tox, cognitive blunting), H1 (sedation, metabolic weight gain), and alpha-1 adrenergic (orthostatic hypotension). Critically, this class is notorious for voltage-gated sodium channel blockade and hERG liabilities, leading to fatal arrhythmias and QTc prolongation. Bringing an NCE with this profile into a modern CNS trial is clinical suicide; you are giving a drug with a narrow therapeutic index and lethal overdose potential to a highly vulnerable psychiatric population. The extensive hepatic metabolism required to clear these lipophilic scaffolds further guarantees high CYP-mediated drug-drug interaction risks."
