compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status,year_clean,Edward Score V24,Rationale V24,Metabolic Stability V24,Toxic Fragments V24,P1 Prob V24,P1 Rationale V24,P2 Prob V24,P2 Rationale V24,P3 Prob V24,P3 Rationale V24,TCSP V24,Salah Verdict V24,Biological Risk V24
Fluoxetine,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1987,,,approved,CNS,,approved_control,Approved controls (success),CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,3386,OK,1987.0,25,"The scaffold is a low-molecular-weight (MW ~309), highly brain-penetrant secondary amine. The incorporation of the para-trifluoromethyl ether is a classic, effective strategy to block oxidative metabolism at that position while driving CNS exposure. TPSA is exceptionally low (~21 Å²), ensuring excellent BBB crossing. However, the physicochemical profile (estimated cLogP ~4.0-4.5, pKa ~9.5) creates a textbook basic-lipophilic amine liability. This structural motif (strong basic center linked via a flexible spacer to two hydrophobic aromatic rings) is a known pharmacophore for hERG channel inhibition and phospholipidosis (PLD). Furthermore, the unsubstituted phenyl ring remains a soft spot for CYP-mediated aromatic hydroxylation, and N-demethylation will yield a long-lived primary amine metabolite. While the biological advisory correctly notes that the high potency and low projected clinical dose (<50 mg/day) mitigate systemic DILI risks, the inherent off-target promiscuity of this lipophilic cation motif cannot be ignored. Tox Summary: Not Clean (hERG/PLD risk inherent to basic lipophilic motif).",Medium,Basic lipophilic amine motif (hERG/phospholipidosis risk),0.75,"Low molecular weight and lack of reactive electrophiles support good baseline tolerability, though the basic lipophilic amine motif requires careful QT monitoring during dose escalation.",0.85,Excellent BBB penetrance (TPSA ~21) and validated SERT pharmacology ensure high probability of target engagement at low doses.,0.7,"Manageable on-target side effects, but potential for drug-drug interactions via CYP inhibition and accumulation of long-lived N-demethylated active metabolites could complicate chronic use.",0.44625,ELITE,"The serotonin transporter (SERT) inhibition mechanism is deeply validated for CNS indications with an extensive clinical track record. The target biology is well-characterized, and the mechanism class has yielded multiple successful, chemically distinct therapeutics. On-target liabilities (e.g., GI disturbances, sexual dysfunction) are well-documented, non-lethal, and clinically manageable. The structural features, including a trifluoromethyl group, ensure excellent metabolic stability and blood-brain barrier (BBB) penetrance without requiring high molecular weight. This predicts a low clinical dose requirement (<50 mg/day), effectively mitigating the risk of dose-dependent hepatotoxicity (DILI). Biological uncertainty is exceptionally low."
Sertraline,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1991,,,approved,CNS,,approved_control,Approved controls (success),CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,VGKDLMBJGBXTGI-SJCJKPOMSA-N,68617,OK,1991.0,48,"This scaffold is a classic example of brute-force CNS design: low molecular weight (MW ~306) heavily compensated by gratuitous grease (cLogP ~4.8-5.2). The architecture relies on a rigid tetrahydronaphthalene core decorated with a 3,4-dichlorophenyl ring and a secondary N-methylamine. While the biological advisory correctly notes that this profile ensures massive blood-brain barrier penetration, the physicochemical cost is severe. With a TPSA of merely ~12 Å² and a highly basic amine (pKa > 9), this molecule is a prime candidate for lysosomotropism, phospholipidosis, and a massive volume of distribution. The target affinity is almost certainly driven by hydrophobic collapse rather than high-quality directional hydrogen bonding, leading to a suboptimal Lipophilic Efficiency (LipE). The spatial arrangement of the basic amine and the lipophilic dichlorophenyl moiety mimics the hERG pharmacophore, though the rigid aliphatic ring partially constrains the vectors, mitigating a 'Hard Kill' hERG penalty. Metabolically, expect rapid N-demethylation to a primary amine, which will likely retain pharmacological activity and exacerbate the basicity-driven liabilities. The heavy halogenation provides metabolic shielding but adds dead lipophilic weight. It will cross the BBB efficiently, but it will also partition into every lipid membrane it encounters. Tox Summary: Not Clean (High risk of phospholipidosis and off-target promiscuity driven by extreme lipophilicity and low TPSA).",Medium,"Highly basic secondary amine (lysosomotropism/phospholipidosis driver); 3,4-dichlorophenyl (lipophilic dead weight, minor risk of arene oxide formation).",0.65,"The high lipophilicity and basic amine raise flags for hERG and phospholipidosis, but the low molecular weight and lack of reactive MBI motifs allow it to clear acute safety thresholds, especially if the high BBB penetration permits a moderate clinical dose.",0.6,"The extreme membrane permeability (TPSA ~12 Å²) guarantees CNS exposure, and the deeply validated SERT mechanism ensures robust target engagement and efficacy signals in Phase 2.",0.45,"Chronic administration of highly lipophilic, basic amines often leads to cumulative off-target effects and tissue accumulation. However, the psychiatric indication provides a slightly higher tolerance for these side effects compared to chronic metabolic diseases.",0.1755,ELITE,"The Serotonin Transporter (SERT) is a deeply validated, elite-tier target for CNS mood disorders. The biological mechanism is exceptionally well-characterized with a massive historical precedent of chemically diverse molecules achieving efficacy without catastrophic on-target toxicity. The primary on-target liabilities (gastrointestinal disturbances, sexual dysfunction) are clinically manageable and acceptable for chronic psychiatric indications. The low molecular weight and lipophilic nature of this scaffold predict excellent blood-brain barrier penetration, allowing for a moderate clinical dose that minimizes hepatic burden and DILI risk. The biological uncertainty here is near zero; the primary hurdle is not target toxicity, but the inherent noise of CNS clinical trials."
Paroxetine,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1992,,,approved,CNS,,approved_control,Approved controls (success),C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,AHOUBRCZNHFOSL-YOEHRIQHSA-N,43815,OK,1992.0,42,"The molecule presents a highly optimized physicochemical profile for CNS penetration, operating perfectly within the Goldilocks zone (MW ~329, cLogP ~3.0, TPSA ~40 Å²). The rigid 3,4-disubstituted piperidine scaffold effectively vectors the two aromatic systems, minimizing entropic penalties upon target binding and driving high Lipophilic Efficiency (LipE). The incorporation of a para-fluoro substituent on the phenyl ring is a textbook, high-fidelity maneuver to block CYP-mediated aromatic oxidation. However, the architecture is severely compromised by the inclusion of a benzodioxole (methylenedioxy) moiety. This is a notorious structural alert for Mechanism-Based Inactivation (MBI). Upon CYP-mediated metabolism (particularly CYP2D6), this group generates a reactive carbene intermediate that tightly coordinates to the enzyme's heme iron, resulting in quasi-irreversible suicide inhibition. While the biological advisory correctly notes that the high-affinity SERT engagement allows for low clinical doses (<50 mg)—thereby mitigating systemic DILI and reducing the absolute hERG risk posed by the basic secondary amine—the MBI liability remains a massive hurdle. It guarantees non-linear pharmacokinetics and severe drug-drug interactions (DDIs), which is a critical flaw for a psychiatric indication where polypharmacy is the norm. The structural alert is a known quantity in approved agents, so it is not an automatic death sentence, but it heavily burdens clinical development. Tox Summary: Not Clean.",Medium,Benzodioxole (CYP2D6 MBI via carbene formation),0.65,"The benzodioxole moiety introduces significant CYP2D6 MBI risk, complicating early safety and PK profiling, though the low required dose prevents a hard kill.",0.75,"Exceptional CNS MPO (MW < 350, TPSA ~40) and rigid vectoring strongly predict excellent brain penetrance and robust target engagement at low doses.",0.45,"The severe DDI liability stemming from CYP2D6 suicide inhibition presents a major hurdle in a polypharmacy-heavy psychiatric patient population, threatening chronic safety.",0.219375,ELITE,"The biological target (SERT/SSRI) is exceptionally well-characterized with a deep, validated clinical precedent for CNS indications. The therapeutic hypothesis is direct, and the mechanism allows for high-affinity binding that translates to low clinical doses (<50mg), effectively neutralizing systemic DILI risks. On-target toxicities (GI upset, sexual dysfunction, sleep architecture disruption) are highly predictable, manageable, and clinically accepted in this therapeutic area. However, as a clinical pharmacologist, I must flag a severe structural liability: the inclusion of a methylenedioxy (benzodioxole) moiety. This functional group is notorious for mechanism-based inactivation (MBI) of CYP450 enzymes, specifically CYP2D6. This will lead to non-linear pharmacokinetics and severe drug-drug interactions (DDIs). While the biological mechanism is ELITE and virtually guarantees efficacy via target engagement, the clinical development will be heavily burdened by DDI management in a polypharmacy-heavy psychiatric patient population."
Citalopram,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1998,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-UHFFFAOYSA-N,2771,OK,1998.0,22,"The molecule is a highly optimized, low-molecular-weight (MW ~324) tertiary amine with an elite physicochemical profile for CNS penetration (TPSA ~36 Å², cLogP ~3.5, HBD = 0). The basic dimethylaminopropyl chain is perfectly suited for anchoring to the SERT aspartate residue. The quaternary carbon introduces critical sp3 character, breaking up planarity and ensuring adequate solubility despite the lipophilic bis-aryl system. The para-fluoro substitution strategically blocks a major CYP-mediated aromatic oxidation soft spot. The primary structural liability is a textbook hERG pharmacophore: a strong basic center (pKa > 9) linked via a 3-methylene spacer to a bulky hydrophobic cluster. Ordinarily, this triggers a severe penalty; however, this specific topology is intrinsically required for monoamine transporter engagement. Because this motif is ubiquitous in approved monoamine modulators and the highly optimized LipE predicts a low clinical dose (<50 mg/day), the hERG risk is manageable rather than fatal. The cyanophthalane core is metabolically robust, avoiding the mechanism-based inactivation (MBI) risks associated with benzodioxoles. Clearance will be driven primarily by predictable, benign N-demethylation. Tox Summary: Clean.",Medium,None,0.75,"The primary Phase 1 hurdle is the inherent hERG liability driven by the basic amine and lipophilic core. However, the low predicted dose and complete absence of reactive metabolites (MBI/DILI alerts) support a strong systemic safety profile.",0.65,"Excellent CNS MPO guarantees blood-brain barrier penetration. The basic amine and optimized 3D geometry ensure high-affinity target engagement, though psychiatric clinical trial noise inherently caps Phase 2 success rates.",0.55,Chronic safety is strongly supported by the absence of structural alerts for idiosyncratic toxicity and a clean metabolic pathway. The low daily dose minimizes hepatic burden for long-term administration.,0.268125,ELITE,"The biological rationale for Selective Serotonin Reuptake Inhibitors (SSRIs) in CNS indications is exceptionally well-validated. The mechanism-of-action class has a deep, proven track record with multiple chemically distinct molecules successfully navigating clinical development. The therapeutic hypothesis linking SERT inhibition to downstream neuroplasticity and mood regulation is established. On-target toxicities (e.g., GI disturbances, sexual dysfunction) are well-characterized, manageable, and generally do not pose severe safety risks in monotherapy. Structurally, the candidate possesses a low molecular weight, a basic amine for strong target engagement, and favorable lipophilicity for blood-brain barrier penetration. This profile strongly predicts a low clinical dose requirement (<50mg/day), which minimizes hepatic burden and idiosyncratic DILI risk. The primary biological hurdle is not safety or target validation, but rather the inherent noise of psychiatric clinical trials."
Fluvoxamine,,SSRI,Serotonin Transporter (SERT),Depression,Approved,1994,,,approved,CNS,,approved_control,Approved controls (success),COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,CJOFXWAVKWHTFT-XSFVSMFZSA-N,5324346,OK,1994.0,25,"The molecule is a structurally simple, low-molecular-weight (MW ~318) NCE with a physicochemical profile near-optimal for CNS penetration. The cLogP (~3.0) and TPSA (~56 Å²) fall squarely within the Goldilocks zone for blood-brain barrier traversal. The architecture employs an oxime ether to project the basic aminoethyl group and the lipophilic trifluoromethylphenyl moiety into the required vectors for monoamine transporter engagement. The CF3 group effectively blocks aromatic oxidation while tuning lipophilicity. However, the molecule carries two notable liabilities. First, it is highly flexible (~9-10 rotatable bonds), primarily due to the unconstrained methoxybutyl appendage. This introduces an entropic penalty upon binding and serves as a metabolic soft spot, highly susceptible to CYP-mediated O-demethylation and subsequent aliphatic oxidation. Second, the topology—a strong basic center (primary amine, pKa ~9) linked via a short spacer to a lipophilic aromatic cluster—is a classic hERG pharmacophore. Fortunately, the relatively low overall lipophilicity and small molecular volume mitigate the risk of high-affinity hERG blockade, preventing a 'Hard Kill' scenario. As the biological advisory notes, the high ligand efficiency and excellent CNS MPO suggest therapeutic receptor occupancy can be achieved at low doses, minimizing hepatic burden. Tox Summary: Clean.",Medium,"None (Primary amine oxidative deamination is a standard clearance pathway, not a toxicophore)",0.75,Excellent physicochemical properties and low molecular weight minimize systemic toxicity and DILI risk. The hERG liability is present but likely manageable due to moderate lipophilicity.,0.55,The SSRI mechanism is deeply validated. The molecule's high predicted BBB penetrance and structural alignment with monoamine transporter pharmacophores strongly support target engagement.,0.65,Chronic safety for this class is generally well-tolerated. The primary risks are off-target receptor promiscuity (typical of basic CNS drugs) and metabolic variability due to the labile methoxybutyl chain.,0.268125,ELITE,"The SSRI (serotonin transporter inhibition) mechanism is one of the most deeply validated pharmacological classes in CNS therapeutics, boasting a massive historical track record with multiple chemically distinct successes. Biological uncertainty is exceptionally low. On-target adverse effects (e.g., GI disturbances, sexual dysfunction) are well-characterized, predictable, and clinically tolerated for psychiatric indications. The structural simplicity, moderate lipophilicity, and low molecular weight of this NCE suggest high ligand efficiency and excellent blood-brain barrier penetrance. This means therapeutic CNS receptor occupancy can likely be achieved at moderate doses, minimizing hepatic burden and DILI risk. The biological foundation is rock solid; the primary risk lies in clinical trial execution rather than mechanistic failure."
Venlafaxine,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,1993,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,PNVNVHUZROJLTJ-UHFFFAOYSA-N,5656,OK,1993.0,12,"This scaffold is a masterclass in CNS drug design. With a molecular weight under 300 Da, a TPSA of approximately 33 Å², and a cLogP in the 2.5-3.0 range, it perfectly threads the needle for the CNS Multiparameter Optimization (MPO) space. The basic N,N-dimethylamine serves as the critical anchor for the conserved aspartate in monoamine transporters, while the 4-methoxyphenyl and cyclohexyl rings provide the necessary hydrophobic bulk for affinity. Crucially, the tertiary alcohol acts as a polarity handle, preventing the molecule from becoming excessively greasy and keeping the Lipophilic Efficiency (LipE) high. Metabolic liabilities are present—specifically N-demethylation and O-demethylation—but these are predictable, non-toxic pathways that often yield active metabolites in this class, extending the pharmacodynamic effect. There are no structural alerts for mechanism-based inactivation (MBI) or reactive metabolite formation. The compact size and moderate lipophilicity strongly mitigate hERG and DILI risks, avoiding the 'Rule of Two' trap. Tox Summary: Clean.",Medium,None,0.85,"Excellent physicochemical properties with no structural alerts, MBI risks, or significant hERG liabilities. Low MW and optimal LogP predict a wide safety margin.",0.65,Deeply validated SNRI mechanism combined with a scaffold that guarantees high BBB penetration and target engagement at low doses.,0.75,Low structural complexity and cLogP < 3 minimize the risk of idiosyncratic DILI. Predictable metabolism supports chronic dosing safety.,0.414375,ELITE,"The Serotonin-Norepinephrine Reuptake Inhibitor (SNRI) mechanism is deeply validated for CNS indications, including major depressive disorder, anxiety, and neuropathic pain. The biological signaling pathways (monoamine hypothesis and descending pain modulation) are well-characterized, with multiple chemically distinct molecules successfully developed in this class. The dual SERT/NET inhibition provides a robust therapeutic rationale. On-target toxicities—such as noradrenergic-mediated mild hypertension, serotonergic gastrointestinal disturbances, and sexual dysfunction—are highly predictable, monitorable, and clinically accepted given the disease burden. The provided low-molecular-weight scaffold suggests efficient blood-brain barrier (BBB) penetration, which should allow for moderate clinical dosing without requiring massive systemic exposures that drive idiosyncratic Drug-Induced Liver Injury (DILI). Biological uncertainty is minimal."
Bupropion,,NDRI,NET and Dopamine Transporter (DAT),Depression,Approved,1985,,,approved,CNS,,approved_control,Approved controls (success),CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,SNPPWIUOZRMYNY-UHFFFAOYSA-N,444,OK,1985.0,42,"This NCE operates in an optimal physicochemical space for CNS penetration (MW ~240, TPSA 29 Å², cLogP ~3.0). The structural design employs a bulky tert-butyl group to sterically shield the secondary amine from monoamine oxidase (MAO) degradation, while the meta-chloro substituent on the phenyl ring deactivates the arene towards CYP-mediated oxidation and optimizes lipophilicity. However, as highlighted by the biological advisory, the very features that ensure rapid BBB crossing—low molecular weight and minimal polar surface area—guarantee rapid systemic absorption and steep Cmax spikes. This pharmacokinetic profile directly exacerbates the mechanism-based seizure liability inherent to NDRIs. Furthermore, the alpha-aminoketone motif is highly susceptible to carbonyl reduction, generating an active amino-alcohol metabolite that will complicate the PK/PD relationship and prolong CNS exposure. The molecule's clinical viability is entirely hostage to formulation technologies (e.g., extended-release kinetics) to blunt peak plasma concentrations. Tox Summary: Not Clean (Cmax-driven neurotoxicity and seizure risk; active metabolites).",Medium,alpha-aminoketone (pharmacologically driven seizure liability via rapid BBB penetration; susceptible to carbonyl reduction),0.55,Phase 1 safety is heavily compromised by the narrow therapeutic index and risk of dose-dependent seizures driven by rapid absorption and high Cmax.,0.45,"Target engagement is highly probable given the excellent CNS MPO profile, provided a safe dosing window can be established.",0.2,"Chronic administration in a diverse patient population amplifies the risk of seizure events, demanding flawless extended-release formulation to survive.",0.0495,CAUTION,"The NDRI (Norepinephrine-Dopamine Reuptake Inhibitor) mechanism is deeply validated for CNS indications, offering a distinct advantage over SSRIs by avoiding serotonergic liabilities like sexual dysfunction and weight gain. However, this target class carries a severe, mechanism-based clinical risk: dose-dependent lowering of the seizure threshold. The structural scaffold (a substituted beta-keto amphetamine/cathinone derivative) is highly lipophilic and will readily cross the BBB, but achieving sustained DAT/NET occupancy without triggering high Cmax spikes is notoriously difficult. High peak plasma concentrations of this chemotype directly correlate with CNS toxicity, agitation, and seizures. While the biology is well-characterized, the narrow therapeutic index between efficacy and neurotoxicity means this NCE will live or die based entirely on its pharmacokinetic profile and the ability to engineer an extended-release formulation to blunt Cmax."
Mirtazapine,,NaSSA,_2_-adrenergic and 5-HT2A/2C/3 receptors,Depression,Approved,1996,,,approved,CNS,,approved_control,Approved controls (success),CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,RONZAEMNMFQXRA-UHFFFAOYSA-N,4205,OK,1996.0,25,"This is a masterclass in rigidified CNS design. The tetracyclic scaffold is an entropic rock (0 rotatable bonds), ensuring maximum ligand efficiency without the need for gratuitous lipophilicity. With a MW of 265, a cLogP hovering around 2.8, and a TPSA under 20 Å², this molecule will partition across the blood-brain barrier with aggressive efficiency. The embedded N-methyl piperazine provides the requisite basicity (pKa ~8) to anchor into aminergic GPCR aspartate residues, driving the intended polypharmacology (alpha-2, 5-HT) while inevitably catching H1, as noted in the biological advisory. The hERG pharmacophore is technically present (basic amine near lipophilic aromatics), but the exceptionally low molecular weight and absolute conformational rigidity prevent the induced-fit binding typically required for catastrophic channel blockade. Metabolism will be straightforward and predictable: CYP-mediated N-demethylation and minor aromatic hydroxylation, with zero risk of reactive intermediate trapping. There are no structural alerts for MBI, and the low dose requirement keeps the DILI risk negligible. The score incorporates the 10-point penalty for historical target stigma. Tox Summary: Clean.",Medium,None,0.85,"Excellent physicochemical properties, no structural alerts for mechanism-based inactivation, and low DILI risk support a highly favorable Phase 1 safety profile.",0.55,Massive brain penetrance and rigid geometry guarantee target engagement. The primary risk is tolerability dropouts due to the profound sedation and hyperphagia driven by the inherent H1 polypharmacology.,0.45,"Chronic safety is supported by the lack of reactive metabolites and low hepatic burden. However, metabolic liabilities (weight gain) from chronic H1 antagonism present a significant commercial and long-term compliance hurdle.",0.210375,ELITE,"The NaSSA (Noradrenergic and Specific Serotonergic Antidepressant) mechanism is a deeply validated, highly characterized biological approach for CNS disorders. By antagonizing presynaptic alpha-2 adrenergic auto- and hetero-receptors, the mechanism forces an increase in both noradrenergic and serotonergic neurotransmission. Furthermore, the targeted antagonism of 5-HT2 and 5-HT3 receptors elegantly circumvents the classic SSRI-induced liabilities of sexual dysfunction and gastrointestinal distress. The primary biological risk here is not catastrophic toxicity, but rather the inherent polypharmacology of the class—specifically, potent H1 histamine receptor antagonism. This guarantees profound sedation and metabolic liabilities (hyperphagia, significant weight gain) during chronic administration. While these effects can severely impact long-term patient compliance, they are predictable, manageable, and sometimes therapeutically leveraged in patients with comorbid insomnia or anorexia. The required clinical dose is typically moderate, keeping the hepatic burden and idiosyncratic DILI risk well within acceptable limits for chronic CNS pharmacotherapy."
Trazodone,,Serotonin antagonist/reuptake inhibitor,5-HT2A receptor and SERT,Depression,Approved,1981,,,approved,CNS,,approved_control,Approved controls (success),C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,PHLBKPHSAVXXEF-UHFFFAOYSA-N,5533,OK,1981.0,82,"Structurally, this molecule presents a Jekyll-and-Hyde profile. On paper, the physicochemical properties are near-optimal for CNS penetration (MW ~372, cLogP ~3.2, TPSA ~46 Å², HBD=0). However, the structural motifs chosen to achieve this are fundamentally flawed. The arylpiperazine moiety is a notorious GPCR promiscuity sink, guaranteeing off-target hits at alpha-1 and H1 receptors, which perfectly aligns with the biological advisory's warning of profound sedation and orthostatic hypotension. Furthermore, the basic piperazine nitrogen, separated by a flexible 3-carbon aliphatic spacer from a lipophilic bicyclic system, is a textbook hERG pharmacophore, elevating QTc prolongation risks. Most critically, 'Mental Metabolism' flags a severe liability: oxidative N-dealkylation at the propyl linker will inevitably release the 1-(3-chlorophenyl)piperazine fragment. This is not an inert byproduct; arylpiperazines are potent, non-selective serotonergic agents that will actively confound the primary SARI mechanism and introduce their own toxicity profile. Combined with the high dose burden (>100 mg/day) required for this chemotype, the hepatic clearance demands will amplify both the DILI risk and the accumulation of this active metabolite. Tox Summary: Not Clean.",Low,"1-(3-chlorophenyl)piperazine (active/toxic metabolite release via N-dealkylation), Basic amine + 3-carbon linker + lipophilic core (hERG pharmacophore)",0.4,"The combination of a textbook hERG pharmacophore and the inevitable release of a potent, non-selective active metabolite via N-dealkylation presents severe acute safety and tolerability hurdles, especially at the high doses required.",0.55,"While the excellent CNS MPO guarantees blood-brain barrier penetration and target engagement, the primary SARI efficacy will be heavily confounded by the opposing pharmacology of the released arylpiperazine metabolite.",0.25,"Chronic administration is severely compromised by the high dose burden, inherent GPCR promiscuity (alpha-1/H1 leading to sedation/hypotension), and the idiosyncratic DILI risk highlighted in the biological advisory.",0.055,CAUTION,"The Serotonin Antagonist and Reuptake Inhibitor (SARI) mechanism is biologically validated for CNS indications, leveraging 5-HT2A antagonism to offset typical SERT-inhibition side effects like insomnia and sexual dysfunction. However, this target class typically suffers from a moderate-to-high dose burden (often >100 mg/day) to achieve sufficient CNS penetrance and adequate SERT occupancy. This elevated dose, combined with the lipophilic arylpiperazine scaffold, drives significant hepatic clearance demands and introduces a moderate idiosyncratic DILI risk. Furthermore, this chemotype is notoriously promiscuous, frequently exhibiting off-target affinity for alpha-1 adrenergic and H1 histaminergic receptors. This polypharmacology introduces dose-limiting orthostatic hypotension, profound sedation, and potential QTc prolongation liabilities. While the primary biology is sound and well-precedented, the required dose-to-exposure ratio and inherent receptor promiscuity warrant strict caution for chronic administration."
Amitriptyline,,TCA,SERT and NET,Depression,Approved,1961,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,KRMDCWKBEZIMAB-UHFFFAOYSA-N,2160,OK,1961.0,88,"The molecule features a highly lipophilic, rigid tricyclic scaffold paired with a basic tertiary aliphatic amine. While the molecular weight is low (<300 Da), the TPSA is exceptionally low (<5 Å²) and the cLogP is high (>4.5). This extreme lipophilicity-to-polarity ratio drives massive non-specific binding, poor LipE, and extensive membrane partitioning. Structurally, it perfectly embodies the classic hERG pharmacophore: a strong basic center (pKa ~9.5) linked via a 3-carbon spacer to a massive hydrophobic cluster. Because the intended target is a monoamine transporter and not an ion channel, this triggers a Hard Kill penalty for severe off-target ion channel blockade (hERG, Nav), which translates to fatal arrhythmias in overdose. Furthermore, the rigid lipophilic core is a privileged motif for aminergic GPCRs, ensuring rampant polypharmacology (H1, M1, alpha-1 antagonism) as highlighted in the biological advisory. The high volume of distribution and reliance on extensive hepatic metabolism (N-demethylation, ring hydroxylation) further complicate its safety profile. Tox Summary: Not Clean.",Low,['hERG pharmacophore (tertiary amine + 3-carbon spacer + lipophilic tricyclic core)'],0.15,Severe hERG and Nav liabilities trigger a Hard Kill penalty for safety. The narrow therapeutic index and high risk of cardiotoxicity severely limit Phase 1 tolerability.,0.65,Excellent BBB penetration due to high lipophilicity and low TPSA ensures robust CNS exposure and target engagement.,0.05,"Chronic safety is fundamentally compromised by the severe anticholinergic, antihistaminergic, and cardiovascular off-target burden. Unacceptable for modern chronic CNS therapy.",0.004875,CAUTION,"The therapeutic hypothesis of monoamine reuptake inhibition (SERT/NET) for CNS indications is deeply validated and highly efficacious. However, the tricyclic scaffold represents a fundamentally 'dirty' pharmacological profile. This class is notorious for rampant polypharmacology, specifically off-target antagonism at muscarinic (M1), histaminergic (H1), and adrenergic (alpha-1) receptors. Clinically, this translates to a severe anticholinergic burden, profound sedation, weight gain, and orthostatic hypotension. More critically, these highly lipophilic, basic molecules frequently exhibit off-target blockade of cardiac voltage-gated sodium channels (Nav) and hERG. In a psychiatric population where suicide risk is elevated, the narrow therapeutic index and high lethality in overdose due to fatal arrhythmias make this mechanistic class a massive clinical liability by modern regulatory standards. While the primary biology works, the off-target toxicity profile is unacceptable for a novel chronic CNS agent today."
