compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status,year_clean,Edward Score V23,Rationale V23,metabolic_stability_estimate,potential_toxic_fragments,P1 Prob V23,P1 Rationale V23,P2 Prob V23,P2 Rationale V23,P3 Prob V23,P3 Rationale V23,TCSP V23,Salah Verdict V23,Biological Risk V23
Escitalopram,,SSRI,Serotonin Transporter (SERT),Depression,Approved,2002,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-FQEVSTJZSA-N,146570,OK,2002.0,58,"Physicochemically, this NCE presents an elite CNS MPO profile: MW < 350, TPSA < 40 Å², and HBD = 0, ensuring rapid blood-brain barrier penetration and likely high LipE. The para-fluoro substitution is a classic, effective block against CYP-mediated aromatic oxidation, and the cyano group provides metabolic stability while tuning the electronics of the isobenzofuran core. However, the structural architecture is a textbook hERG liability. The basic dimethylamino group (pKa ~9.5) linked via a highly flexible 3-methylene spacer to a dense, lipophilic bis-aryl cluster perfectly aligns with the hERG central cavity pharmacophore (Tyr652/Phe656 interaction). As Salah noted, this translates directly to dose-dependent QTc prolongation. While the low molecular weight and high potency should keep the clinical dose low enough to avoid Rule-of-Two DILI risks, the N-demethylation clearance pathway introduces CYP DDI potential. Combined with the 20-point penalty for a saturated, high-placebo-response target space, the therapeutic window is uncomfortably narrow. Tox Summary: Not Clean (hERG/QTc liability).",Medium,['Basic amine-alkyl-bisaryl motif (hERG pharmacophore)'],0.65,"Excellent physicochemical properties ensure good exposure, but the distinct hERG pharmacophore introduces significant Phase 1 QTc prolongation risk, capping safety probability.",0.45,"Target engagement in the CNS is virtually guaranteed given the MPO profile, but as Salah highlighted, the SSRI space is plagued by massive placebo responses, making efficacy demonstration statistically perilous.",0.2,Commercial viability is severely hampered by a saturated market and the cardiovascular monitoring burden required due to the structural hERG liability.,0.0585,CAUTION,"While SERT inhibition is a highly validated mechanism for CNS indications, the clinical landscape is heavily saturated and notoriously plagued by massive placebo response rates, making Phase 3 efficacy demonstration statistically perilous. Structurally, this basic lipophilic amine featuring a cyano-fluorophenyl isobenzofuran-like scaffold carries a distinct risk for hERG channel promiscuity, which translates directly to dose-dependent QTc prolongation in the clinic. The high potency likely keeps the clinical dose low (<50mg), sparing the liver from severe DILI, but the cardiovascular monitoring burden, combined with class-wide liabilities like sexual dysfunction and CYP450-mediated drug-drug interactions, narrows the therapeutic index. You are fighting a validated but exhausted target where safety and tolerability must be absolutely pristine to survive."
Desvenlafaxine,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2008,,,approved,CNS,,approved_control,Approved controls (success),CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,KYYIDSXMWOZKMP-UHFFFAOYSA-N,125017,OK,2008.0,68,"Physicochemically, this molecule sits in an elite CNS MPO space: MW < 300, TPSA ~43 Å², and a cLogP in the Goldilocks zone (~2.0). This guarantees excellent passive blood-brain barrier penetration and high Lipophilic Efficiency (LipE). However, the structural liabilities are severe. The presence of an exposed, unhindered phenol is a massive metabolic sink, guaranteeing rapid and extensive Phase II clearance (glucuronidation and sulfation) during first-pass metabolism. As highlighted by the biological advisory, this necessitates a high clinical dose to achieve adequate central receptor occupancy. This high dose burden synergizes dangerously with the phenol moiety, which is susceptible to CYP-mediated ortho-hydroxylation to a catechol, followed by oxidation to a highly reactive ortho-quinone species. This presents a distinct idiosyncratic DILI risk. Furthermore, the basic dimethylamine (pKa ~9.5) separated by a short spacer from the lipophilic core is a classic monoamine reuptake pharmacophore that inherently carries dose-dependent cardiovascular liabilities (hypertension, tachycardia). While the low lipophilicity mitigates severe hERG trapping, the sheer mass of drug required to overcome Phase II clearance makes the therapeutic window uncomfortably narrow. Tox Summary: Not Clean (High Phase II clearance driving high-dose quinone bioactivation risk).",Low,"['Exposed phenol (ortho-quinone bioactivation risk via catechol intermediate)', 'Basic dimethylamine (dose-dependent CV/hERG liability)']",0.6,"Low molecular weight and good aqueous solubility provide a decent safety baseline, but the high Cmax required to overcome rapid first-pass metabolism introduces acute cardiovascular risks.",0.45,"Excellent BBB permeability, but maintaining sustained central target engagement against aggressive peripheral glucuronidation will be a significant pharmacokinetic challenge.",0.25,Chronic administration at high doses to compensate for poor bioavailability significantly elevates the risk of idiosyncratic DILI via reactive quinone intermediates.,0.0675,CAUTION,"The SNRI mechanism is clinically validated but carries inescapable class-wide liabilities, specifically dose-dependent cardiovascular toxicity (hypertension, tachycardia) driven by peripheral norepinephrine reuptake, and severe CNS discontinuation syndromes. Structurally, the presence of a free phenol guarantees rapid Phase II metabolism (glucuronidation/sulfation), which will severely blunt oral bioavailability. To achieve adequate CNS receptor occupancy, the clinical dose will likely need to be pushed high (>50-100mg). This high dose burden, coupled with the potential for the phenol to oxidize into reactive quinone species, introduces a distinct idiosyncratic DILI risk. While not a biological graveyard, the therapeutic window is narrow and tolerability will be a constant battle."
Duloxetine,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2004,,,approved,CNS,,approved_control,Approved controls (success),CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,ZEUITGRIYCTCEM-KRWDZBQOSA-N,60835,OK,2004.0,78,"Physicochemically, this NCE presents a double-edged sword. The low molecular weight (<300 Da) and minimal TPSA (~21 Å²) guarantee excellent blood-brain barrier penetration, fitting the CNS MPO profile perfectly. However, the structural assembly is a textbook hERG liability: a strong basic center (secondary amine, pKa > 9) tethered via a flexible alkyl chain to a massive, dual-aromatic lipophilic sink (naphthyl and thiophene). This will drive promiscuous off-target binding and potential phospholipidosis. Metabolically, the inclusion of an unsubstituted thiophene is a severe liability, prone to CYP-mediated bioactivation into reactive epoxides or sulfoxides, directly corroborating the biological advisory's DILI warning. The bulky naphthyl ether further drives high hepatic clearance via aromatic hydroxylation and N-demethylation. Factoring in the 25-point biological penalty for the SNRI tolerability ceiling, this scaffold's inherent cardiovascular (hERG + NET) and hepatotoxic risks severely compromise its physicochemical efficiency. Tox Summary: Not Clean.",Low,"['Thiophene (CYP-mediated bioactivation to reactive sulfoxides/epoxides)', 'Naphthyl ether (lipophilic sink driving promiscuity and high hepatic clearance)']",0.45,Significant Phase 1 risk due to compounding cardiovascular liabilities (inherent NET pharmacology + structural hERG pharmacophore) and potential idiosyncratic toxicity from thiophene bioactivation.,0.55,"Target engagement is highly probable given the excellent CNS MPO properties (low TPSA, optimal cLogP), but dose-limiting tolerability issues (GI/CV) may obscure the efficacy window.",0.15,Chronic administration of a bioactivation-prone thiophene in a genericized SNRI market presents an unacceptable risk-to-benefit ratio for idiosyncratic DILI and chronic cardiovascular strain.,0.037125,CAUTION,"While dual SERT/NET inhibition is a clinically validated mechanism for CNS disorders, the target class is plagued by a hard tolerability ceiling. NET inhibition drives dose-dependent cardiovascular liabilities (hypertension, tachycardia), while SERT inhibition guarantees GI distress and sexual dysfunction. Structurally, the inclusion of both a thiophene and a bulky polycyclic ether is a metabolic red flag. Thiophenes are notorious for CYP-mediated bioactivation into reactive sulfoxides or epoxides, acting as a direct vector for idiosyncratic Drug-Induced Liver Injury (DILI). Given the moderate daily dose typically required for adequate CNS receptor occupancy in this class, the liver burden is non-trivial. You are entering a highly genericized market with a molecule carrying structural hepatotoxicity alerts."
Levomilnacipran,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),CCN(CC)C(=O)[C@]1(C[C@H]1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-DZGCQCFKSA-N,6917779,OK,2013.0,42,"From a strict physicochemical perspective, this NCE is a masterclass in CNS design. With a MW of ~246 g/mol, a TPSA of ~46 Å², and an estimated cLogP around 2.0, it sits perfectly in the CNS MPO goldilocks zone. The cyclopropane core is an elegant structural feature, providing extreme rigidity that minimizes the entropic penalty of binding, likely driving exceptional Lipophilic Efficiency (LipE). The primary amine (pKa ~9.5) ensures good solubility. While the basic amine, spacer, and phenyl ring technically form a rudimentary hERG pharmacophore, the exceptionally low molecular weight and minimal hydrophobic footprint heavily mitigate high-affinity channel blockade. Metabolically, the N,N-diethylamide is a classic soft spot for CYP3A4-mediated N-dealkylation, and the primary amine may be subject to oxidative deamination, but clearance should be manageable without generating reactive intermediates. However, integrating the biological advisory (+25 penalty), this pristine chemical vehicle is driving straight into a clinical minefield. The flawless brain penetrance guarantees robust target engagement, which paradoxically ensures the manifestation of the SNRI class's dose-limiting cardiovascular (NE-driven) and gastrointestinal (5-HT-driven) liabilities. The low DILI risk (Rule of Two compliant) is overshadowed by the treacherous therapeutic window. Tox Summary: Clean.",Medium,"None (N,N-diethylamide is a metabolic soft spot but not inherently toxic)",0.75,"Excellent physicochemical properties, low MW, and low lipophilicity heavily insulate this NCE against severe Phase 1 safety failures. DILI risk is negligible, and hERG risk is blunted by the lack of a large hydrophobic tail.",0.35,"Target engagement in the CNS is virtually guaranteed given the optimal MPO profile. However, the high placebo response inherent to subjective CNS endpoints and early tolerability dropouts will severely compress the efficacy signal.",0.2,"Chronic administration will unmask the mechanistic liabilities of dual reuptake inhibition. Hypertension, tachycardia, and discontinuation syndromes will drive significant patient attrition, threatening pivotal trial powering.",0.0525,CAUTION,"The SNRI class is biologically validated but clinically treacherous. You are walking into the CNS trial graveyard where massive placebo responses routinely slaughter Phase 3 efficacy endpoints. Mechanistically, dual reuptake inhibition guarantees a squeezed therapeutic window: the noradrenergic component drives dose-limiting cardiovascular liabilities (hypertension, tachycardia), while the serotonergic arm ensures GI distress and sexual dysfunction. The low molecular complexity suggests a highly penetrant, low-dose NCE, sparing the liver from overt DILI, but clinical attrition will be driven by poor tolerability, discontinuation syndromes, and statistical noise in subjective CNS endpoints."
Milnacipran,,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2009,,,approved,CNS,,approved_control,Approved controls (success),CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-HIFRSBDPSA-N,65833,OK,2009.0,48,"From a pure physicochemical standpoint, this scaffold is a MedChem masterclass in atom economy and CNS MPO design. With a MW < 250, TPSA ~55 Å², and an estimated cLogP in the 1.5-2.0 range, it perfectly threads the needle for blood-brain barrier penetration without relying on excessive 'grease'. The rigid cyclopropane core elegantly minimizes the entropic penalty of binding while precisely vectoring the lipophilic phenyl ring and the basic primary amine. However, the metabolic profile is not bulletproof: the unsubstituted phenyl ring is a glaring soft spot for CYP-mediated para-hydroxylation, and the N,N-diethylamide is highly susceptible to oxidative N-dealkylation. Furthermore, I must apply the 30-point penalty mandated by the biological advisory. While the molecule itself is highly developable and lacks hard-kill structural alerts, the dual SERT/NET mechanism guarantees a narrow therapeutic window plagued by noradrenergic cardiovascular liabilities and serotonergic GI/discontinuation syndromes. Tox Summary: Clean structurally, but burdened by target-mediated clinical liabilities.",Medium,"Unsubstituted phenyl (para-hydroxylation risk), N,N-diethylamide (N-dealkylation risk)",0.75,"Excellent physicochemical properties (low MW, optimal cLogP, low TPSA) and absence of severe structural alerts suggest a smooth Phase 1 safety profile, though target-mediated CV effects may appear at higher doses.",0.35,"Target engagement is highly probable given the optimized CNS MPO, but the massive placebo response rates inherent to psychiatric and pain indications severely threaten the ability to demonstrate a statistically significant efficacy signal.",0.15,"Chronic dosing will unmask the dose-limiting liabilities of dual SERT/NET inhibition, including hypertension, tachycardia, and severe discontinuation syndrome, making Phase 3 survival highly precarious in a saturated market.",0.039375,CAUTION,"SNRIs are a clinically validated but highly saturated and problematic target class. While the low molecular weight and basic amine of this scaffold suggest efficient blood-brain barrier penetration and a potentially low-to-moderate dose burden, the clinical reality of CNS monoamine modulators is brutal. Phase 3 attrition in this space is massive, driven primarily by insurmountable placebo response rates in psychiatric and pain indications rather than direct toxicity. Biologically, dual SERT/NET inhibition carries inherent, dose-limiting liabilities: noradrenergic-driven cardiovascular events (hypertension, tachycardia) and serotonergic-driven GI toxicity, sexual dysfunction, and severe discontinuation syndrome. Chronic daily dosing is required, meaning any hepatic accumulation or minor off-target kinase/GPCR promiscuity will rapidly compound into a clinical hold. It is a functional mechanism, but the therapeutic window is inherently narrow due to target-mediated adverse effects."
Vilazodone,,SSRI/5-HT1A partial agonist,SERT and 5-HT1A receptor,Depression,Approved,2011,,,approved,CNS,,approved_control,Approved controls (success),C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,SGEGOXDYSFKCPT-UHFFFAOYSA-N,6918314,OK,2011.0,78,"This molecule is a physicochemical contradiction for a CNS indication. With a TPSA exceeding 100 Å² and an HBD of 3 (indole NH, primary amide), it blatantly violates strict CNS MPO guidelines (TPSA < 90, HBD <= 1), guaranteeing high P-gp efflux and poor passive BBB permeability. To force this polar payload across the blood-brain barrier, the design relies on a greasy, flexible 4-methylene linker and a lipophilic benzofuran, pushing the cLogP into the ~4.0 range. This 'grease vs. polarity' tug-of-war creates a textbook hERG pharmacophore: a basic piperazine nitrogen tethered by a flexible hydrophobic spacer to an aromatic indole. Metabolically, the exposed butyl chain and piperazine are highly vulnerable to CYP-mediated N-dealkylation and aliphatic oxidation, validating the biological advisory's warning regarding CYP DDI risks. Furthermore, the benzofuran ring carries a latent risk of bioactivation via epoxidation, though partially deactivated by the carboxamide. Integrating the biological advisory: the dual SERT/5-HT1A mechanism ensures massive peripheral enteric toxicity (nausea/diarrhea), which, combined with the historical 20-point penalty for insurmountable Phase 3 placebo responses, renders this asset clinically unviable. Tox Summary: Not Clean (hERG liability, severe GI tox, CYP DDI risk).",Low,"Benzofuran (latent epoxidation risk), 4-methylene-piperazine-indole motif (classic hERG pharmacophore)",0.45,"The hERG liability driven by the flexible lipophilic tail, combined with the guaranteed peripheral serotonin surge (severe GI tox), will make dose escalation and tolerability highly problematic in healthy volunteers.",0.35,High TPSA (>100 Å²) and HBD (3) will severely restrict central target engagement. The peripheral GI toxicity will likely prevent dosing high enough to achieve the necessary CNS exposure.,0.15,"As noted in the biological advisory, the clinical graveyard is paved with insurmountable placebo responses in this class. Poor patient compliance due to chronic nausea/diarrhea will destroy trial retention.",0.023625,CAUTION,"Dual SERT inhibition and 5-HT1A partial agonism is a biologically validated mechanism intended to bypass the delayed onset and sexual dysfunction of classical SSRIs. However, do not mistake 'validated' for 'easy'. The clinical graveyard of CNS is paved with insurmountable placebo responses in Phase 3 trials. Furthermore, driving both SERT and 5-HT1A simultaneously guarantees a massive peripheral serotonin surge in the enteric nervous system. Expect dose-limiting gastrointestinal toxicity (severe nausea and diarrhea) that will cripple patient compliance and trial retention. The lipophilic piperazine-indole scaffold also flags potential CYP-mediated drug-drug interactions. While it avoids the DILI graveyard, the tolerability profile and high placebo-response risk make this a treacherous clinical path."
Vortioxetine,,Multimodal serotonergic,"SERT, 5-HT1A/1B/3/7 receptors",Depression,Approved,2013,,,approved,CNS,,approved_control,Approved controls (success),CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,YQNWZWMKLDQSAC-UHFFFAOYSA-N,9966051,OK,2013.0,72,"Physicochemical properties show a deceptively compliant CNS profile (MW < 300, TPSA < 60 Å²), but this is achieved through excessive lipophilicity. The diaryl thioether core is a massive liability: it acts as a 'grease' anchor to drive affinity while introducing a glaring metabolic soft spot highly susceptible to S-oxidation (forming sulfoxides/sulfones) via CYPs and FMOs. Furthermore, coupling this lipophilic bulk directly to an unsubstituted basic piperazine (pKa > 8.5) creates a classic CYP2D6/3A4 sink, guaranteeing high hepatic clearance and severe DDI risks, perfectly aligning with the biological advisory's warning of a high metabolic burden. While the direct aryl attachment lacks the flexible 3-4 methylene spacer of the worst hERG offenders, the overall basic/lipophilic nature still strongly flags for cardiac liabilities and off-target promiscuity. The biological penalty (+30) for 'dirty' polypharmacology and dose-limiting GI toxicity is fully justified by this brute-force structural approach. Tox Summary: Not Clean (S-oxidation risk, CYP2D6 DDI, hERG flags).",Low,"Diaryl thioether (S-oxidation soft spot), unsubstituted arylpiperazine (CYP2D6 liability and reactive intermediate potential)",0.55,"Phase 1 will be heavily challenged by the high hepatic clearance, potential for DDI (CYP2D6), and dose-limiting GI tox (nausea/emesis) driven by the promiscuous basic piperazine.",0.35,CNS polypharmacology is a statistical graveyard. Achieving sufficient target engagement across multiple 5-HT receptors without triggering severe off-target adverse events is highly improbable with this lipophilic profile.,0.15,Chronic administration will expose the full extent of the metabolic burden and DDI liabilities. Subjective CNS endpoints combined with a narrow therapeutic index usually result in Phase 3 failure.,0.028875,CAUTION,"The 'multimodal serotonergic' label is frequently a clinical euphemism for a dirty polypharmacology profile. Attempting to thread the needle between SERT inhibition and various 5-HT receptor modulations (e.g., 5-HT1A, 5-HT3, 5-HT7) usually results in dose-limiting gastrointestinal toxicity (severe nausea and emesis) before optimal CNS receptor occupancy is achieved. Structurally, the highly lipophilic diaryl thioether coupled with a basic piperazine guarantees extensive hepatic clearance (likely CYP2D6/3A4 heavy), creating significant drug-drug interaction liabilities and a high metabolic burden on the liver. Furthermore, CNS indications are a statistical graveyard dominated by massive placebo responses and subjective endpoints."
Agomelatine,,Melatonin agonist,MT1/MT2 and 5-HT2C receptors,Depression,Approved,2009 (EU),,,approved,CNS,,approved_control,Approved controls (success),CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC,YJYPHIXNFHFHND-UHFFFAOYSA-N,82148,OK,2009.0,72,"Physicochemically, this molecule is an elite CNS penetrant. With a MW < 250, cLogP ~2.5, TPSA ~38 Å², and a single HBD, it perfectly threads the CNS MPO needle, ensuring rapid blood-brain barrier crossing without hERG liabilities (neutral acetamide, no basic amine). However, the structural biology is fatally compromised by the electron-rich, planar naphthalene core. As highlighted by the biological advisory, this motif guarantees massive CYP1A2-mediated first-pass metabolism, destroying oral bioavailability. To achieve CNS exposure, the dose must be pushed, funneling a high burden of this lipophilic aromatic mass through the liver. The naphthalene ring is highly susceptible to epoxidation, forming reactive arene oxides that covalently bind to hepatic proteins, driving a severe risk of idiosyncratic Drug-Induced Liver Injury (DILI) and transaminase elevations. Trading weak CNS efficacy for mandatory liver monitoring is a catastrophic MedChem compromise. Tox Summary: Not Clean (High DILI risk via reactive arene oxides).",Low,['Electron-rich naphthalene core (arene oxide/epoxide formation)'],0.45,High risk of transaminase elevations and hepatotoxicity due to reactive epoxide intermediates formed during extensive CYP1A2 first-pass metabolism.,0.25,"Target engagement is likely, but clinical efficacy is severely undermined by the notoriously weak biological response of melatonin agonism and massive placebo effects.",0.1,Chronic administration of a DILI-flagged molecule for a non-lethal CNS indication presents an insurmountable regulatory and commercial barrier.,0.01125,CAUTION,"Melatonin agonism is biologically validated for circadian entrainment but notoriously weak for robust CNS efficacy (e.g., severe insomnia or depression), suffering from massive placebo responses in late-stage trials. Structurally, the planar naphthalene core is a severe liability. It guarantees extensive CYP450 (likely CYP1A2) first-pass metabolism, resulting in poor oral bioavailability. To achieve therapeutic CNS exposure, the dose must be pushed, funneling a high burden of lipophilic, aromatic mass through the liver. Naphthalene rings are notorious for forming reactive epoxide intermediates, creating a high risk for idiosyncratic Drug-Induced Liver Injury (DILI) and transaminase elevations. You are trading weak CNS efficacy for a mandatory liver monitoring program."
Selegiline,,MAO-B inhibitor,Monoamine Oxidase B (MAO-B),Parkinson/Depression,Approved,2006,,,approved,CNS,,approved_control,Approved controls (success),C[C@H](CC1=CC=CC=C1)N(C)CC#C,MEZLKOACVSPNER-GFCCVEGCSA-N,26757,OK,2006.0,85,"As an NCE pitched in a modern MedChem campaign, this structure would be immediately flagged for severe metabolic liabilities. On paper, the physicochemical profile is pristine for CNS penetration: MW < 200, cLogP ~2.6, and a TPSA < 5 Å². It will cross the blood-brain barrier effortlessly. However, the structural alerts are catastrophic. The propargylamine moiety is a classic mechanism-based inhibitor (MBI) designed to covalently ablate the target via suicide inhibition. While this allows for low dosing, it permanently disables the enzyme and carries inherent off-target reactivity risks. The fatal MedChem flaw lies in the 'Mental Metabolism'. The N-methyl-N-propargyl-phenylisopropylamine scaffold is highly susceptible to CYP450-mediated N-dealkylation. Sequential removal of the propargyl and methyl groups inevitably generates primary and secondary amphetamine-like active metabolites. This guarantees dose-dependent cardiovascular toxicity (tachycardia, hypertension) and severe neuropsychiatric liabilities (agitation, insomnia). Furthermore, as the biological advisory notes, any dose creep will erode MAO-B selectivity, risking MAO-A crossover and the classic tyramine-induced hypertensive crisis. Tox Summary: Not Clean.",Low,"['Propargylamine (Mechanism-Based/Suicide Inhibition)', 'Phenylisopropylamine core (Generates amphetamine-like metabolites via N-dealkylation)']",0.45,"The generation of stimulant-like metabolites via N-dealkylation poses a significant risk of cardiovascular adverse events (tachycardia, elevated blood pressure) in healthy Phase 1 volunteers, limiting the maximum tolerated dose.",0.35,"While target engagement (MAO-B covalent inhibition) is highly probable, the therapeutic window will be severely compressed by the neuropsychiatric and cardiovascular side effects of the metabolites.",0.15,Chronic administration of an irreversible inhibitor that metabolizes into amphetamine-like structures faces massive regulatory headwinds today due to cardiovascular safety signals and potential abuse liability.,0.023625,CAUTION,"Targeting MAO-B for CNS indications is clinically validated, but this specific structural approach carries severe pharmacological baggage. The propargylamine moiety strongly indicates irreversible, mechanism-based 'suicide' inhibition. While this allows for low clinical dosing—sparing the liver from high-burden DILI—it creates a dangerous pharmacokinetic scenario. The phenethylamine-based backbone is highly susceptible to N-dealkylation, inevitably generating amphetamine-like active metabolites. This will drive dose-dependent cardiovascular toxicity (tachycardia, hypertension) and neuropsychiatric adverse events (insomnia, agitation). Furthermore, any dose-creep will erode MAO-B selectivity, crossing over to MAO-A and triggering the classic tyramine-induced hypertensive crisis ('cheese effect')."
Esketamine,,NDMA antagonist,NMDA receptor,Depression,Approved,2019,,,approved,CNS,,approved_control,Approved controls (success),CN[C@@]1(CCCCC1=O)C2=CC=CC=C2Cl,YQEZLKZALYSWHR-ZDUSSCGKSA-N,182137,OK,2019.0,55,"From a strict physicochemical perspective, this NCE is a masterclass in CNS drug design. With a molecular weight under 240 Da, a TPSA of ~29 Å², and an estimated cLogP in the optimal 2.5-3.0 range, it achieves near-perfect CNS Multiparameter Optimization (MPO). The rigid architecture, driven by the sp3-rich cyclohexanone and the sterically demanding ortho-chlorophenyl group, ensures high ligand efficiency (LipE) without relying on excessive 'grease'. However, I must integrate Salah's biological advisory. The very physicochemical perfection of this molecule—guaranteeing massive, rapid, and unhindered blood-brain barrier penetration—weaponizes its pharmacodynamics. The rapid brain Cmax will inevitably trigger the dose-limiting psychotomimetic and sympathomimetic toxicities Salah warns of. Metabolically, expect rapid N-demethylation to the primary amine and aliphatic hydroxylation of the cyclohexanone ring, which may yield active metabolites that prolong the PD liabilities. While chemically pristine and devoid of classic structural alerts (no hERG pharmacophore, no MBI motifs), the target-mediated toxicity is a severe bottleneck. Tox Summary: Clean chemically, but biologically hazardous due to extreme PD liabilities.",Medium,"Alpha-amino ketone motif (sterically shielded, but poses a theoretical risk of reactivity); ortho-chlorophenyl (potential for reactive arene oxide formation, though mitigated by low absolute dose).",0.7,"Chemically, the molecule is highly developable with no classic toxophores. However, acute dose-limiting psychotomimetic effects in healthy volunteers will complicate dose escalation.",0.6,"Unquestionable target engagement. The pristine CNS MPO guarantees the molecule will reach the NMDA receptors, likely demonstrating profound and rapid efficacy.",0.15,"The severe abuse liability, narrow therapeutic window, and potential for neurotoxicity (vacuolization) make chronic or broad approval highly improbable without extreme REMS restrictions.",0.063,CAUTION,"NMDA receptor antagonism in the CNS is a notorious clinical minefield. While the mechanism offers profound, rapid-acting pharmacodynamics, it is fundamentally plagued by dose-limiting psychotomimetic toxicity (dissociation, hallucinations) and severe abuse liability. The low molecular weight and high lipophilicity of this scaffold guarantee rapid blood-brain barrier penetration, but this creates a razor-thin therapeutic window. The dose required for CNS efficacy is dangerously close to the threshold for sympathomimetic cardiovascular spikes (hypertension, tachycardia) and potential neurotoxicity (vacuolization). While the absolute mass dose may be low enough to avoid classic DILI, the extreme pharmacodynamic liabilities mean this NCE will face brutal regulatory scrutiny."
