compound,Alias,target_class,specific_target,indication,max_phase,year-approved,year_stopped,primary_safety_signal,category,therapeutic_area,failure_type,MedChem_Descriptor_Tag,Outcome_Granularity,isomeric,inchikey,cid,status
Fluoxetine,NA,SSRI,Serotonin Transporter (SERT),Depression,Approved,1987,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,3386,OK
Sertraline,NA,SSRI,Serotonin Transporter (SERT),Depression,Approved,1991,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,VGKDLMBJGBXTGI-SJCJKPOMSA-N,68617,OK
Paroxetine,NA,SSRI,Serotonin Transporter (SERT),Depression,Approved,1992,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,AHOUBRCZNHFOSL-YOEHRIQHSA-N,43815,OK
Citalopram,NA,SSRI,Serotonin Transporter (SERT),Depression,Approved,1998,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-UHFFFAOYSA-N,2771,OK
Escitalopram,NA,SSRI,Serotonin Transporter (SERT),Depression,Approved,2002,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,WSEQXVZVJXJVFP-FQEVSTJZSA-N,146570,OK
Fluvoxamine,NA,SSRI,Serotonin Transporter (SERT),Depression,Approved,1994,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,CJOFXWAVKWHTFT-XSFVSMFZSA-N,5324346,OK
Venlafaxine,NA,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,1993,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,PNVNVHUZROJLTJ-UHFFFAOYSA-N,5656,OK
Desvenlafaxine,NA,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2008,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,KYYIDSXMWOZKMP-UHFFFAOYSA-N,125017,OK
Duloxetine,NA,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2004,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,ZEUITGRIYCTCEM-KRWDZBQOSA-N,60835,OK
Levomilnacipran,NA,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2013,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCN(CC)C(=O)[C@]1(C[C@H]1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-DZGCQCFKSA-N,6917779,OK
Milnacipran,NA,SNRI,SERT and Norepinephrine Transporter (NET),Depression,Approved,2009,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2,GJJFMKBJSRMPLA-HIFRSBDPSA-N,65833,OK
Bupropion,NA,NDRI,NET and Dopamine Transporter (DAT),Depression,Approved,1985,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,SNPPWIUOZRMYNY-UHFFFAOYSA-N,444,OK
Mirtazapine,NA,NaSSA,_2_-adrenergic and 5-HT2A/2C/3 receptors,Depression,Approved,1996,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,RONZAEMNMFQXRA-UHFFFAOYSA-N,4205,OK
Trazodone,NA,Serotonin antagonist/reuptake inhibitor,5-HT2A receptor and SERT,Depression,Approved,1981,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,PHLBKPHSAVXXEF-UHFFFAOYSA-N,5533,OK
Vilazodone,NA,SSRI/5-HT1A partial agonist,SERT and 5-HT1A receptor,Depression,Approved,2011,NA,NA,approved,CNS,NA,approved_control,Approved controls (success),C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,SGEGOXDYSFKCPT-UHFFFAOYSA-N,6918314,OK
